R_TAD,partner_display,RGG_partner,pair_id,Outcome,Notes,Kd_uM,Kd_uM_err,pKd_PPT,pKd_err_PPT,Pred_log10_negB22_hybrid,Pred_log10_negB22_base,Sim_log10_negB22_corr1,Sim_log10_negB22_corr2,Sim_B22_raw,Sim_B22_corr_Hummer,Sim_B22_corr_Ganguly
foxo4_cr3,THOC4 C-term,thoc4_cter,thoc4_cter__foxo4_cr3,Kd_fit,,196.027,19.058,3.7076841064831627,0.042222674611722744,3.954689289366188,3.9358324667402687,4.194535258523521,4.2329835637836135,-12057.81719,-15650.75376,-17099.50599
foxo6_cr3,THOC4 C-term,thoc4_cter,thoc4_cter__foxo6_cr3,NB,No specific binding (8 eq),,,,,3.831675390047205,3.847033490662118,4.064567526088928,4.080300724,-8914.536754,-11602.9261,-12030.97221
lef1_nter,THOC4 C-term,thoc4_cter,thoc4_cter__lef1_nter,NB,Same / no specific binding,,,,,3.610929801706345,3.658402390126835,3.810747290748916,3.8789807041715063,-5777.131679,-6467.66163,-7567.992695
tfe3_cter,THOC4 C-term,thoc4_cter,thoc4_cter__tfe3_cter,LB,Line broadening; peaks moving back,,,,,3.7050596975057664,3.758750651248088,3.970887834811726,3.992290731121897,-7419.281679,-9351.641182,-9824.053777
atf4_tad,THOC4 C-term,thoc4_cter,thoc4_cter__atf4_tad,Kd_fit,,345.358,47.327,3.461730479383868,0.059514634,3.589114570603547,3.642805524345869,4.027199940792557,4.0762014001102935,-8838.211473,-10646.33042,-11917.94564
foxo4_cr3,THOC4 N-term,thoc4_nter,thoc4_nter__foxo4_cr3,Kd_fit,,48.466,1.64,4.3145628220270265,0.014695723813009801,4.126077408391066,4.103367373492881,4.328899360324908,4.420000796427558,-16828.48255,-21325.50677,-26302.72815
foxo6_cr3,THOC4 N-term,thoc4_nter,thoc4_nter__foxo6_cr3,Kd_fit,,67.224,2.217,4.172475649464825,0.014322725,3.992764182606512,4.000012091,4.1846374377755975,4.239394622346374,-12163.85528,-15298.09797,-17353.80137
lef1_nter,THOC4 N-term,thoc4_nter,thoc4_nter__lef1_nter,NB,Minimal changes / likely weak; no fit,,,,,3.8179649326294034,3.838897762865393,3.9604774277860577,4.031971985,-8054.299214,-9130.139807,-10763.95776
tfe3_cter,THOC4 N-term,thoc4_nter,thoc4_nter__tfe3_cter,Kd_fit,,250.797,41.943,3.600677662782462,0.072630906,3.9158480790748977,3.9501869573882193,4.081109175519955,4.132963378176712,-9960.097693,-12053.38908,-13581.98912
atf4_tad,THOC4 N-term,thoc4_nter,thoc4_nter__atf4_tad,Kd_fit,,183.665,6.618,3.735973596852019,0.015648931,3.8059575992550623,3.840655443392013,4.166169561961111,4.249895633651209,-12308.65322,-14661.20148,-17778.52119
foxo4_cr3,G3BP1,g3bp1_rgg,g3bp1_rgg__foxo4_cr3,Kd_fit,,676.877,92.77,3.169490242798574,0.059522629792657565,4.103685982273023,4.062240193855328,3.916926357869648,3.894226468668608,-6118.64307,-8258.978925,-7838.382792
foxo6_cr3,G3BP1,g3bp1_rgg,g3bp1_rgg__foxo6_cr3,Kd_fit,,273.583,55.275,3.5629108924620514,0.087745319,3.873202864164008,3.8875937957509454,3.822737133398341,3.817907382977912,-5178.544055,-6648.706063,-6575.176011
lef1_nter,G3BP1,g3bp1_rgg,g3bp1_rgg__lef1_nter,NB,No specific binding (8 eq),,,,,3.566611631033412,3.620302584775733,3.651913298844687,3.6655187412878103,-3773.027395,-4486.558128,-4629.336405
tfe3_cter,G3BP1,g3bp1_rgg,g3bp1_rgg__tfe3_cter,LB,Line broadening,,,,,3.606660723108628,3.660351676850949,3.7092508511326714,3.6916217559156017,-3991.008922,-5119.774715,-4916.111857
atf4_tad,G3BP1,g3bp1_rgg,g3bp1_rgg__atf4_tad,Kd_fit,,688.447,116.344,3.162129488,0.073393532,3.515656122,3.569347075443152,3.762713742425943,3.761061928949404,-4594.200351,-5790.46902,-5768.487142
foxo4_cr3,TAF15,taf15_rgg,taf15_rgg__foxo4_cr3,LB,Line broadening; peaks return back; TITAN not suitable,,,,,3.584318055,3.572605393017569,3.448639770245937,3.3859388760646185,-2026.092144,-2809.569439,-2431.861717
foxo6_cr3,TAF15,taf15_rgg,taf15_rgg__foxo6_cr3,LB,Same as FOXO4 (line broadening),,,,,3.7452611606309527,3.7534443997583495,3.463214627945662,3.4253176319784164,-2177.355299,-2905.458175,-2662.671758
lef1_nter,TAF15,taf15_rgg,taf15_rgg__lef1_nter,NB,Same / no specific binding,,,,,3.672617720381649,3.726308674123971,3.331191867867951,3.3407325567807797,-1840.018755,-2143.837522,-2191.454998
tfe3_cter,TAF15,taf15_rgg,taf15_rgg__tfe3_cter,NB,No specific interaction,,,,,3.7079582812300336,3.761649234972355,3.413516789273768,3.330546223570614,-1769.51485,-2591.294596,-2140.652752
atf4_tad,TAF15,taf15_rgg,taf15_rgg__atf4_tad,NB,No binding (NMR titration),,,,,3.688569299,3.7422602528045217,3.480189637,3.4642307206725373,-2451.852709,-3021.270689,-2912.263859
