qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot
O00716_1	O00716_1	100.0	57	0	0	1	57	19	75	4.66e-34	115.0	57	75	O00716	O00716
O15391_1	O15391_1	100.0	31	0	0	1	31	41	71	6.87e-16	64.7	52	71	O15391	O15391
O43889_1	O43889_1	100.0	54	0	0	1	54	2	55	1.1900000000000001e-29	104.0	54	92	O43889	O43889
O43889_1	O43889_1	40.0	15	9	0	10	24	52	66	267.0	11.7	54	92	O43889	O43889
P01106_1	P01106_1	100.0	39	0	0	1	39	12	50	2.0900000000000002e-22	82.5	39	144	P01106	P01106
P11473_1	P11473_1	100.0	41	0	0	1	41	2	42	4.99e-22	78.3	41	44	P11473	P11473
P15172_1	P15172_1	100.0	48	0	0	1	48	1	48	8.240000000000001e-27	96.1	48	97	P15172	P15172
P17947_1	P17947_1	100.0	38	0	0	1	38	23	60	1.8000000000000003e-21	79.1	38	78	P17947	P17947
P18850_1	P18850_1	100.0	74	0	0	1	74	10	83	2.62e-47	158.0	74	150	P18850	P18850
P35716_1	P35716_1	100.0	30	0	0	16	45	1	30	1.64e-17	66.0	45	33	P35716	P35716
P36956_1	P36956_1	100.0	51	0	0	1	51	3	53	4.9399999999999994e-30	102.0	51	60	P36956	P36956
P41161_1	P41161_1	100.0	31	0	0	7	37	1	31	5.45e-15	59.6	52	31	P41161	P41161
P43268_1	P43268_1	100.0	42	0	0	4	45	1	42	6.71e-24	84.6	51	42	P43268	P43268
P50549_1	P50549_1	100.0	32	0	0	2	33	1	32	2.18e-16	63.0	47	32	P50549	P50549
P52630_1	P52630_1	40.0	20	12	0	30	49	18	37	15.0	15.9	70	83	P52630	P52630
P52630_1	P52630_1	80.0	5	1	0	30	34	6	10	393.0	11.2	70	83	P52630	P52630
P78545_1	P78545_1	100.0	26	0	0	1	26	6	31	4.56e-14	55.8	40	31	P78545	P78545
Q00613_1	Q00613_1	100.0	41	0	0	1	41	102	142	9.589999999999999e-23	83.8	41	159	Q00613	Q00613
Q00613_1	Q00613_1	66.667	6	2	0	9	14	38	43	337.0	10.8	41	159	Q00613	Q00613
Q01094_1	Q01094_1	100.0	58	0	0	1	58	13	70	4.63e-34	115.0	58	70	Q01094	Q01094
Q04206_1	Q04206_2	100.0	44	0	0	1	44	19	62	1.4699999999999999e-24	87.2	44	62	Q04206	Q04206
Q12772_1	Q12772_1	100.0	49	0	0	1	49	2	50	3e-27	94.8	55	50	Q12772	Q12772
Q14209_1	Q14209_1	100.0	42	0	0	1	42	38	79	1.86e-23	85.0	42	79	Q14209	Q14209
Q15329_1	Q15329_1	100.0	41	0	0	1	41	16	56	1.67e-24	86.3	41	60	Q15329	Q15329
Q15596_1	Q15596_1	71.429	7	2	0	18	24	81	87	69.0	12.9	40	122	Q15596	Q15596
Q15596_1	Q15596_1	41.667	12	7	0	21	32	5	16	441.0	10.4	40	122	Q15596	Q15596
Q15596_2	Q15596_1	100.0	39	0	0	1	39	50	88	9.44e-22	80.8	39	122	Q15596	Q15596
Q15596_2	Q15596_2	55.556	9	4	0	9	17	57	65	8.1	15.9	39	177	Q15596	Q15596
Q15596_2	Q15596_2	66.667	3	1	0	13	15	35	37	648.0	10.0	39	177	Q15596	Q15596
Q16254_1	Q16254_1	100.0	41	0	0	1	41	31	71	1.4599999999999998e-23	85.0	41	77	Q16254	Q16254
Q16665_1	Q16665_1	100.0	39	0	0	1	39	4	42	2.81e-22	79.1	39	45	Q16665	Q16665
Q96BA8_1	Q96BA8_1	100.0	49	0	0	1	49	12	60	3.7300000000000003e-26	94.8	75	60	Q96BA8	Q96BA8
Q9UBX2_1	Q9UBX2_1	100.0	58	0	0	1	58	41	98	2.8e-29	104.0	58	98	Q9UBX2	Q9UBX2
Q9Y2N7_1	Q9Y2N7_1	100.0	44	0	0	1	44	10	53	2.53e-25	88.9	47	53	Q9Y2N7	Q9Y2N7
