qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot
O15353_1	O15353_1	100.0	46	0	0	1	46	7	52	6.57e-26	91.8	46	54	O15353	O15353
O15391_1	O15391_1	100.0	31	0	0	1	31	41	71	2.12e-15	64.7	52	71	O15391	O15391
O43524_1	O43524_1	100.0	43	0	0	1	43	13	55	1.7699999999999998e-24	89.3	43	80	O43524	O43524
O43889_1	O43889_1	100.0	54	0	0	1	54	2	55	3.6000000000000003e-29	104.0	54	107	O43889	O43889
O43889_1	O43889_1	28.571	42	27	1	10	48	52	93	732.0	11.7	54	107	O43889	O43889
P01100_1	P01100_2	100.0	37	0	0	2	38	1	37	8.21e-19	73.2	38	99	P01100	P01100
P01100_1	P01100_2	41.667	12	7	0	8	19	78	89	80.0	14.2	38	99	P01100	P01100
P01106_1	P01106_1	100.0	39	0	0	1	39	12	50	6.5e-22	82.5	39	143	P01106	P01106
P04198_1	P04198_1	100.0	40	0	0	1	40	17	56	7.469999999999999e-23	84.2	40	73	P04198	P04198
P15172_1	P15172_1	100.0	48	0	0	1	48	3	50	1.54e-26	95.2	48	75	P15172	P15172
P17947_1	P17947_1	100.0	38	0	0	1	38	29	66	4.09e-21	80.0	38	111	P17947	P17947
P18848_1	P18848_1	100.0	113	0	0	1	113	1	113	5.1300000000000006e-70	225.0	134	113	P18848	P18848
P18850_1	P18850_1	100.0	74	0	0	1	74	10	83	8.1e-47	158.0	74	150	P18850	P18850
P19532_1	P19532_2	100.0	51	0	0	1	51	20	70	3.11e-28	102.0	51	104	P19532	P19532
P35638_1	P35638_1	100.0	10	0	0	1	10	9	18	0.071	22.7	41	18	P35638	P35638
P35716_1	P35716_1	100.0	45	0	0	1	45	77	121	6.1800000000000006e-27	97.8	45	124	P35716	P35716
P36956_1	P36956_1	100.0	51	0	0	1	51	3	53	2.66e-29	104.0	51	92	P36956	P36956
P41161_1	P41161_1	100.0	41	0	0	1	41	32	72	7.49e-22	82.9	52	72	P41161	P41161
P41161_2	P41161_3	100.0	39	0	0	1	39	20	58	4.66e-22	80.8	39	60	P41161	P41161
P43268_1	P43268_1	100.0	32	0	0	10	41	1	32	2.09e-16	64.7	51	32	P43268	P43268
P50549_1	P50549_1	100.0	47	0	0	1	47	37	83	1.9100000000000003e-27	99.9	47	182	P50549	P50549
P52630_1	P52630_1	100.0	69	0	0	2	70	1	69	1.76e-35	126.0	70	152	P52630	P52630
P78545_1	P78545_1	100.0	26	0	0	1	26	6	31	1.41e-13	55.8	40	31	P78545	P78545
P98177_1	P98177_1	100.0	35	0	0	8	42	1	35	3.32e-18	68.9	44	35	P98177	P98177
Q00613_1	Q00613_2	100.0	41	0	0	1	41	34	74	3.04e-22	83.3	41	91	Q00613	Q00613
Q01094_1	Q01094_1	100.0	58	0	0	1	58	2	59	5.93e-34	114.0	58	59	Q01094	Q01094
Q04206_1	Q04206_1	100.0	9	0	0	36	44	1	9	0.32	21.8	44	52	Q04206	Q04206
Q06945_1	Q06945_1	100.0	17	0	0	27	43	1	17	2.31e-05	34.1	43	53	Q06945	Q06945
Q12772_1	Q12772_1	100.0	55	0	0	1	55	2	56	6.56e-32	112.0	55	94	Q12772	Q12772
Q14209_1	Q14209_1	100.0	42	0	0	1	42	16	57	4.89e-23	83.8	42	57	Q14209	Q14209
Q14872_1	Q14872_3	40.0	15	9	0	27	41	56	70	46.0	15.1	41	115	Q14872	Q14872
Q15329_1	Q15329_1	100.0	41	0	0	1	41	81	121	6.37e-24	88.4	41	125	Q15329	Q15329
Q15596_2	Q15596_1	100.0	39	0	0	1	39	50	88	2.9100000000000002e-21	80.8	39	122	Q15596	Q15596
Q15596_2	Q15596_2	55.556	9	4	0	9	17	57	65	25.0	15.9	39	177	Q15596	Q15596
Q16254_1	Q16254_1	100.0	41	0	0	1	41	8	48	1.88e-23	84.6	41	54	Q16254	Q16254
Q16665_1	Q16665_1	100.0	39	0	0	1	39	4	42	8.68e-22	79.1	39	45	Q16665	Q16665
Q6ZRS2_1	Q6ZRS2_1	62.5	72	5	2	3	52	219	290	3.6300000000000004e-35	124.0	58	1248	Q6ZRS2	Q6ZRS2
Q6ZRS2_1	Q6ZRS2_1	100.0	58	0	0	1	58	217	274	3.2200000000000004e-32	115.0	58	1248	Q6ZRS2	Q6ZRS2
Q6ZRS2_1	Q6ZRS2_1	75.0	4	1	0	50	53	86	89	189.0	13.8	58	1248	Q6ZRS2	Q6ZRS2
Q6ZRS2_1	Q6ZRS2_1	66.667	6	2	0	44	49	1211	1216	293.0	13.4	58	1248	Q6ZRS2	Q6ZRS2
Q7RTS3_1	Q7RTS3_1	100.0	42	0	0	1	42	2	43	7.25e-22	82.5	74	43	Q7RTS3	Q7RTS3
Q7RTS3_1	Q7RTS3_2	100.0	25	0	0	42	66	1	25	1.08e-11	55.4	74	68	Q7RTS3	Q7RTS3
Q8IUM7_1	Q8IUM7_1	100.0	105	0	0	1	105	87	191	8.24e-66	218.0	105	206	Q8IUM7	Q8IUM7
Q8NFU7_1	Q8NFU7_1	75.0	8	1	1	35	41	54	61	42.0	15.1	41	224	Q8NFU7	Q8NFU7
Q96BA8_1	Q96BA8_1	100.0	49	0	0	1	49	12	60	1.15e-25	94.8	75	60	Q96BA8	Q96BA8
Q99607_1	Q99607_1	100.0	40	0	0	1	40	19	58	2.2700000000000003e-22	83.3	40	86	Q99607	Q99607
Q9NS37_1	Q9NS37_1	100.0	30	0	0	9	38	1	30	6.52e-14	58.3	58	30	Q9NS37	Q9NS37
Q9P0U4_1	Q9P0U4_1	100.0	52	0	0	1	52	14	65	8.139999999999999e-30	104.0	53	65	Q9P0U4	Q9P0U4
Q9UBX2_1	Q9UBX2_1	100.0	58	0	0	1	58	42	99	8.5e-29	104.0	58	99	Q9UBX2	Q9UBX2
Q9Y2N7_1	Q9Y2N7_1	100.0	34	0	0	14	47	1	34	9.96e-18	68.1	47	35	Q9Y2N7	Q9Y2N7
Q9Y4A8_1	Q9Y4A8_1	100.0	25	0	0	1	25	78	102	4.97e-11	52.4	53	102	Q9Y4A8	Q9Y4A8
