qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot
A8MYZ6:430_473	A8MYZ6_1	100.0	44	0	0	1	44	2	45	2.79e-25	86.7	44	48	A8MYZ6	A8MYZ6
O15156:301_316	O15156_1	100.0	15	0	0	1	15	36	50	3.44e-06	31.2	16	50	O15156	O15156
O15391:98_116	O15391_1	100.0	19	0	0	1	19	27	45	4.58e-09	39.7	19	52	O15391	O15391
O43524:600_646	O43524_1	100.0	41	0	0	7	47	1	41	1.1199999999999999e-23	82.5	47	43	O43524	O43524
O75461:149_164	O75461_1	100.0	16	0	0	1	16	6	21	5.98e-07	32.9	16	40	O75461	O75461
P04198:8_23	P04198_1	100.0	7	0	0	10	16	1	7	0.57	16.3	16	40	P04198	P04198
P18848:83_99	P18848_1	100.0	17	0	0	1	17	83	99	4.91e-08	36.3	17	134	P18848	P18848
P18850:57_75	P18850_1	100.0	19	0	0	1	19	48	66	2.61e-09	40.5	19	74	P18850	P18850
P19532:512_529	P19532_1	100.0	18	0	0	1	18	22	39	2.49e-08	37.5	18	51	P19532	P19532
P35716:423_437	P35716_1	100.0	15	0	0	1	15	30	44	3.87e-07	33.3	15	45	P35716	P35716
P98177:463_504	P98177_1	100.0	42	0	0	1	42	2	43	3.3899999999999996e-24	83.3	42	44	P98177	P98177
Q06945:399_417	Q06945_1	100.0	19	0	0	1	19	4	22	3.05e-08	37.1	19	43	Q06945	Q06945
Q13129:498_513	Q13129_1	100.0	16	0	0	1	16	20	35	3.6e-07	33.7	16	45	Q13129	Q13129
Q14494:440_464	Q14494_1	100.0	25	0	0	1	25	8	32	8.36e-13	51.1	25	53	Q14494	Q14494
Q15329:298_317	Q15329_1	100.0	16	0	0	5	20	1	16	2.79e-07	34.6	20	41	Q15329	Q15329
Q15596:110_127	Q15596_2	37.5	16	10	0	2	17	17	32	843.0	7.4	18	39	Q15596	Q15596
Q16665:523_538	Q16665_1	100.0	5	0	0	12	16	1	5	15.0	12.1	16	39	Q16665	Q16665
Q6P1N0:24_44	Q6P1N0_1	100.0	21	0	0	1	21	3	23	5.4e-10	42.2	21	39	Q6P1N0	Q6P1N0
Q8IUM7:689_706	Q8IUM7_1	100.0	18	0	0	1	18	7	24	7.22e-10	41.8	18	105	Q8IUM7	Q8IUM7
Q8IUM7:743_758	Q8IUM7_1	100.0	16	0	0	1	16	61	76	2.02e-07	34.6	16	105	Q8IUM7	Q8IUM7
Q8IUX7:694_709	Q8IUX7_2	100.0	16	0	0	1	16	29	44	1.9e-07	34.6	16	49	Q8IUX7	Q8IUX7
Q8IWI9:2920_2942	Q8IWI9_1	100.0	5	0	0	1	5	126	130	25.0	12.5	23	130	Q8IWI9	Q8IWI9
Q8IY51:20_35	Q8IY51_1	37.5	16	10	0	1	16	24	39	6.0	13.4	16	47	Q8IY51	Q8IY51
Q8WTR7:97_112	Q8WTR7_1	100.0	16	0	0	1	16	97	112	4.39e-08	36.3	16	128	Q8WTR7	Q8WTR7
Q9Y2N7:475_490	Q9Y2N7_1	100.0	16	0	0	1	16	13	28	3.97e-06	30.8	16	47	Q9Y2N7	Q9Y2N7
Q9Y4A8:383_401	Q9Y4A8_1	100.0	19	0	0	1	19	9	27	1.16e-08	38.4	19	53	Q9Y4A8	Q9Y4A8
