,name,rgg,RGG_length,charge_RGG,lambda_RGG,NCPR_RGG,SCD_RGG,SHD_RGG,tad,TAD_length,charge_TAD,lambda_TAD,NCPR_TAD,SCD_TAD,SHD_TAD,Average_lambda,Min_lambda,Average_sigma,Average_charge,Opposite_Charge_Number,Average_NCPR,Charge_Complementarity,Total_Length,Average_Interaction,Average_SCD,Average_Aromatics,Average_SHD,B22_corr1_log10,B22_corr2_log10,B22_corr2_log10_no_pos,B22,Corrected_B22_Hummer,Corrected_B22_Ganguly
0,A0A0A0MQW5_6_1__Q00653_10_25,A0A0A0MQW5_6_1,19,1,6.933521834025587,0.05263157894736842,-0.9286472486867491,1.964528790624016,Q00653_10_25,16,-3,6.935666540869405,-0.1875,0.17869831727174873,2.076873172889223,0.39920068029757905,0.36492220179082036,10.047,-1.0,3,-0.06743421052631579,0.0,35,-0.5958021036664227,-0.37497446570750015,0.0,2.0207009817566197,2.8137225489086473,1.898701731685772,1.898701731685772,-69.07050536331717,-651.212231116018,-79.19572367987152
1,A0A0J9YX57_1_1__Q8IUM7_743_758,A0A0J9YX57_1_1,18,7,8.215387912328502,0.3888888888888889,2.4314622770813186,2.243470503108018,Q8IUM7_743_758,16,-4,5.917173123410629,-0.25,0.7362999233831711,1.7683185812730022,0.413116879893485,0.36982332021316433,9.918,1.5,28,0.06944444444444445,-2.5,34,-0.6350414158458562,1.5838811002322448,0.0,2.0058945421905103,3.3067554855010943,3.176163906786152,3.176163906786152,-1272.45030423237,-2026.5414241559665,-1500.2509373593446
2,A0A0U1RQS6_2_1__Q96NX9_556_574,A0A0U1RQS6_2_1,12,3,4.976105806392685,0.25,0.5246694042447896,1.78095191775643,Q96NX9_556_574,19,-2,8.426668130670938,-0.10526315789473684,-0.36421438803356265,2.192343036865965,0.429092166424369,0.41467548386605707,8.739999999999998,0.5,6,0.07236842105263158,-1.5,31,-0.6031532771058202,0.08022750810561347,0.0,1.9866474773111975,2.837171261810684,2.307182359736358,2.307182359736358,-194.63815259411157,-687.3394353735044,-202.85343198637548
3,A0A0U1RQS6_2_1__Q9Y2N7_475_490,A0A0U1RQS6_2_1,12,3,4.976105806392685,0.25,0.5246694042447896,1.78095191775643,Q9Y2N7_475_490,16,-6,4.060812796161258,-0.375,2.253674139202479,1.15425881754969,0.3342381418130679,0.25380079976007863,7.89,-1.5,18,-0.0625,-1.5,28,-0.49364357886898236,1.3891717717236343,0.0,1.4676053676530598,3.035374870828314,2.82195486445991,2.82195486445991,-556.0858384429149,-1084.8629332776006,-663.6740922165967
4,A0A1B0GUV1_3_1__Q99612_53_68,A0A1B0GUV1_3_1,16,3,8.581550545896622,0.1875,0.2389935559961185,2.543726970879902,Q99612_53_68,16,-2,6.267311810367626,-0.125,-0.16712966617905337,1.8365721184145336,0.4640269486332578,0.3917069881479766,9.241,0.5,6,0.03125,-1.5,32,-0.6972906726701307,0.03593194490853256,0.0,2.190149544647218,2.7925428047223364,2.0114641131738162,2.0114641131738162,-97.83345004039727,-620.2157700476521,-102.67485853898938
5,A0A1B0GWI6_1_1__Q9Y2K1_555_570,A0A1B0GWI6_1_1,29,7,15.24742876029459,0.2413793103448276,2.3904044391911556,3.10076231420507,Q9Y2K1_555_570,16,-3,6.012844264427718,-0.1875,0.3792416645182144,1.7875023703395723,0.450788086027066,0.3758027665267324,12.833,2.0,21,0.0269396551724138,-1.0,45,-0.6630205835271272,1.384823051854685,0.0,2.4441323422723213,3.018543477473445,2.7433243458764607,2.7433243458764607,-479.37804950958434,-1043.6226051657754,-553.7635242371754
6,A0A1W2PPD8_2_1__Q9UL68_831_848,A0A1W2PPD8_2_1,24,9,15.817263798868916,0.375,3.875865549500929,3.70679683513205,Q9UL68_831_848,18,-7,4.991462266936016,-0.3888888888888889,2.7001218854765,1.33623930759152,0.468178058780214,0.2773034592742231,12.061999999999998,1.0,63,-0.0069444444444444475,-6.0,42,-0.6976788020908389,3.2879937174887144,0.0,2.521518071361785,3.827614320954779,3.7837801106054103,3.7837801106054103,-4874.700436865633,-6723.792787213783,-6078.271719238227
7,A0A286YF31_1_1__Q9NZI7_36_58,A0A286YF31_1_1,29,6,15.155244878347292,0.20689655172413793,1.5313527751014693,3.110104516427109,Q9NZI7_36_58,23,-4,8.711757933620937,-0.17391304347826086,0.6959770641567655,2.071245810837726,0.4506833675239842,0.3787720840704755,14.786999999999999,1.0,24,0.01649175412293853,-3.0,52,-0.6471949084053248,1.1136649196291173,0.0,2.5906751636324175,3.1747874757519305,2.8941440963729215,2.8941440963729215,-664.1189583755072,-1495.5036445687306,-783.689623274265
8,A0A286YF58_2_1__O75626_726_744,A0A286YF58_2_1,50,20,27.4737450797547,0.4,14.79429508618363,3.8597303611746288,O75626_726_744,19,-6,5.567944779312681,-0.3157894736842105,2.0561853637186864,1.4983996184197603,0.4212623134110386,0.2930497252269832,19.902,7.0,120,0.04210526315789476,1.0,69,-0.6550192018993808,8.425240224951159,0.0,2.6790649897971948,4.292441824270163,4.358661963284864,4.358661963284864,-15122.068179512284,-19608.38494608748,-22838.204807495815
9,A0A286YF58_2_1__Q06945_399_417,A0A286YF58_2_1,50,20,27.4737450797547,0.4,14.79429508618363,3.8597303611746288,Q06945_399_417,19,-7,7.03741656395424,-0.3684210526315789,2.5293990573775758,1.893417768842021,0.4599326235331849,0.3703903454712758,19.822000000000003,6.5,140,0.015789473684210548,-0.5,69,-0.6972828548479018,8.661847071780603,0.0,2.8765740650083247,4.460901654091899,4.598113446579219,4.598113446579219,-22429.464744062097,-28900.25362531544,-39638.15636843255
