qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot
A6NFI3_1	A6NFI3_1	100.0	44	0	0	14	57	1	44	3.5199999999999994e-23	88.0	57	105	A6NFI3	A6NFI3
A6NFI3_2	A6NFI3_1	100.0	16	0	0	1	16	90	105	2.29e-06	37.1	47	105	A6NFI3	A6NFI3
A8MYZ6_1	A8MYZ6_2	100.0	48	0	0	1	48	8	55	2.86e-27	96.1	48	66	A8MYZ6	A8MYZ6
O00409_1	O00409_1	100.0	54	0	0	1	54	4	57	6.91e-33	110.0	54	59	O00409	O00409
O00716_1	O00716_1	100.0	57	0	0	1	57	5	61	8.659999999999999e-34	113.0	57	61	O00716	O00716
O15060_1	O15060_1	100.0	46	0	0	1	46	9	54	2.3800000000000001e-26	94.0	60	54	O15060	O15060
O15156_1	O15156_1	100.0	35	0	0	16	50	1	35	1.42e-17	69.4	50	58	O15156	O15156
O15353_1	O15353_2	100.0	46	0	0	1	46	2	47	4.47e-26	91.0	46	49	O15353	O15353
O15391_1	O15391_1	100.0	52	0	0	1	52	10	61	3.07e-31	107.0	52	70	O15391	O15391
O43309_1	O43309_1	100.0	50	0	0	1	50	7	56	1.1300000000000001e-26	95.6	50	82	O43309	O43309
O43524_1	O43524_1	100.0	43	0	0	1	43	8	50	1.43e-24	87.2	43	54	O43524	O43524
O43889_1	O43889_1	100.0	54	0	0	1	54	2	55	1.64e-29	102.0	54	60	O43889	O43889
O60304_1	O60304_1	100.0	49	0	0	1	49	5	53	3.81e-27	96.1	49	67	O60304	O60304
O60678_1	O60678_1	100.0	54	0	0	1	54	90	143	1.05e-31	112.0	54	149	O60678	O60678
O75461_1	O75461_1	100.0	40	0	0	1	40	8	47	4.73e-22	80.0	40	56	O75461	O75461
O95785_1	O95785_1	100.0	38	0	0	1	38	66	103	4.28e-21	79.1	38	110	O95785	O95785
O96006_1	O96006_1	100.0	39	0	0	1	39	3	41	3.7300000000000006e-21	77.4	39	55	O96006	O96006
P01100_1	P01100_1	100.0	38	0	0	1	38	7	44	2.09e-20	74.9	38	50	P01100	P01100
P04150_1	P04150_1	100.0	46	0	0	1	46	13	58	4.43e-26	91.8	46	59	P04150	P04150
P04198_1	P04198_1	100.0	40	0	0	1	40	9	48	1.48e-22	83.8	40	99	P04198	P04198
P0CG23_1	P0CG23_1	100.0	56	0	0	1	56	15	70	3.16e-24	91.0	56	138	P0CG23	P0CG23
P0CG23_1	P0CG23_1	55.556	9	4	0	31	39	109	117	120.0	13.8	56	138	P0CG23	P0CG23
P11473_1	P11473_1	100.0	41	0	0	1	41	10	50	1.1400000000000001e-21	79.1	41	53	P11473	P11473
P15172_1	P15172_1	100.0	48	0	0	1	48	2	49	1.5500000000000002e-26	94.0	48	64	P15172	P15172
P17014_1	P17014_1	100.0	40	0	0	1	40	10	49	1.2e-22	82.5	40	63	P17014	P17014
P17947_1	P17947_1	100.0	38	0	0	1	38	3	40	1.98e-21	77.4	38	48	P17947	P17947
P18848_1	P18848_1	100.0	134	0	0	1	134	1	134	3.52e-86	271.0	134	141	P18848	P18848
P18850_1	P18850_1	100.0	74	0	0	1	74	5	78	5.620000000000001e-47	153.0	74	87	P18850	P18850
P19532_1	P19532_2	100.0	51	0	0	1	51	3	53	1.94e-28	99.0	51	62	P19532	P19532
P19838_1	P19838_2	100.0	44	0	0	1	44	16	59	4.28e-26	93.1	44	74	P19838	P19838
P35638_1	P35638_1	100.0	41	0	0	1	41	8	48	3.39e-22	81.2	41	66	P35638	P35638
P35716_1	P35716_3	100.0	45	0	0	1	45	5	49	5.7900000000000005e-27	93.5	45	52	P35716	P35716
P36956_1	P36956_1	100.0	51	0	0	1	51	2	52	8.149999999999999e-30	102.0	51	59	P36956	P36956
P41161_1	P41161_1	100.0	52	0	0	1	52	4	55	3.0199999999999998e-30	103.0	52	58	P41161	P41161
P41161_2	P41161_2	100.0	39	0	0	1	39	21	59	2.98e-22	80.8	39	61	P41161	P41161
P43268_1	P43268_1	100.0	51	0	0	1	51	4	54	2.84e-30	103.0	51	57	P43268	P43268
P49910_1	P49910_1	100.0	40	0	0	1	40	8	47	2.64e-22	80.8	40	58	P49910	P49910
P50549_1	P50549_1	100.0	47	0	0	1	47	4	50	1.57e-27	95.2	47	53	P50549	P50549
P52630_1	P52630_1	100.0	70	0	0	1	70	4	73	3.75e-37	127.0	70	88	P52630	P52630
P54274_1	P54274_1	100.0	49	0	0	1	49	1	49	2e-27	95.2	49	53	P54274	P54274
P78413_1	P78413_1	100.0	40	0	0	1	40	22	61	2.0600000000000002e-21	79.5	40	69	P78413	P78413
P78415_1	P78415_1	100.0	39	0	0	1	39	3	41	7.79e-19	70.6	39	47	P78415	P78415
P78545_1	P78545_1	100.0	40	0	0	1	40	7	46	7.81e-23	82.1	40	52	P78545	P78545
P98177_1	P98177_1	100.0	42	0	0	1	42	1	42	7.54e-24	84.2	44	42	P98177	P98177
Q00613_1	Q00613_1	100.0	41	0	0	1	41	2	42	1.49e-22	81.2	41	51	Q00613	Q00613
Q01094_1	Q01094_1	100.0	58	0	0	1	58	11	68	7.36e-34	115.0	58	68	Q01094	Q01094
Q03701_1	Q03701_1	100.0	46	0	0	1	46	14	59	8.49e-25	90.1	46	85	Q03701	Q03701
Q04206_1	Q04206_1	100.0	44	0	0	1	44	5	48	6.83e-24	85.5	44	56	Q04206	Q04206
Q05516_1	Q05516_1	100.0	60	0	0	1	60	2	61	1.5399999999999999e-34	116.0	60	62	Q05516	Q05516
Q06945_1	Q06945_1	100.0	43	0	0	1	43	15	57	5.050000000000001e-21	79.5	43	90	Q06945	Q06945
Q12772_1	Q12772_1	100.0	55	0	0	1	55	1	55	8.040000000000001e-32	108.0	55	58	Q12772	Q12772
Q13129_1	Q13129_1	100.0	42	0	0	1	42	76	117	1.35e-22	84.6	45	117	Q13129	Q13129
Q13398_1	Q13398_1	100.0	56	0	0	1	56	2	57	2.6100000000000003e-35	117.0	56	60	Q13398	Q13398
Q14209_1	Q14209_1	100.0	42	0	0	1	42	10	51	2.64e-23	83.3	42	51	Q14209	Q14209
Q14494_1	Q14494_2	100.0	53	0	0	1	53	18	70	2.4600000000000002e-29	103.0	53	82	Q14494	Q14494
Q14494_1	Q14494_1	60.0	10	4	0	43	52	1	10	45.0	15.1	53	175	Q14494	Q14494
Q14872_1	Q14872_1	100.0	41	0	0	1	41	6	46	4.1599999999999994e-23	82.9	41	54	Q14872	Q14872
Q15047_1	Q15047_2	100.0	39	0	0	1	39	12	50	3.65e-22	80.0	39	50	Q15047	Q15047
Q15329_1	Q15329_1	100.0	41	0	0	1	41	7	47	3.5e-24	85.0	41	48	Q15329	Q15329
Q15596_1	Q15596_1	100.0	40	0	0	1	40	12	51	2.98e-22	81.2	40	61	Q15596	Q15596
Q15596_2	Q15596_2	100.0	39	0	0	1	39	3	41	2.04e-21	79.5	39	72	Q15596	Q15596
Q15776_1	Q15776_1	100.0	44	0	0	1	44	78	121	8.62e-22	82.5	44	124	Q15776	Q15776
