qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot	short_cov
O00716_1	O00716_1	100.0	57.0	0	0	1	57	19	75	4.66e-34	115.0	57.0	75.0	O00716	O00716	1.0
O43889_1	O43889_1	100.0	54.0	0	0	1	54	2	55	1.1900000000000001e-29	104.0	54.0	92.0	O43889	O43889	1.0
P01106_1	P01106_1	100.0	39.0	0	0	1	39	12	50	2.0900000000000002e-22	82.5	39.0	144.0	P01106	P01106	1.0
P11473_1	P11473_1	100.0	41.0	0	0	1	41	2	42	4.99e-22	78.3	41.0	44.0	P11473	P11473	1.0
P15172_1	P15172_1	100.0	48.0	0	0	1	48	1	48	8.240000000000001e-27	96.1	48.0	97.0	P15172	P15172	1.0
P17947_1	P17947_1	100.0	38.0	0	0	1	38	23	60	1.8000000000000003e-21	79.1	38.0	78.0	P17947	P17947	1.0
P18850_1	P18850_1	100.0	74.0	0	0	1	74	10	83	2.62e-47	158.0	74.0	150.0	P18850	P18850	1.0
P35716_1	P35716_1	100.0	30.0	0	0	16	45	1	30	1.64e-17	66.0	45.0	33.0	P35716	P35716	0.9090909090909091
P36956_1	P36956_1	100.0	51.0	0	0	1	51	3	53	4.9399999999999994e-30	102.0	51.0	60.0	P36956	P36956	1.0
P41161_1	P41161_1	100.0	31.0	0	0	7	37	1	31	5.45e-15	59.6	52.0	31.0	P41161	P41161	1.0
P43268_1	P43268_1	100.0	42.0	0	0	4	45	1	42	6.71e-24	84.6	51.0	42.0	P43268	P43268	1.0
P50549_1	P50549_1	100.0	32.0	0	0	2	33	1	32	2.18e-16	63.0	47.0	32.0	P50549	P50549	1.0
P78545_1	P78545_1	100.0	26.0	0	0	1	26	6	31	4.56e-14	55.8	40.0	31.0	P78545	P78545	0.8387096774193549
Q00613_1	Q00613_1	100.0	41.0	0	0	1	41	102	142	9.589999999999999e-23	83.8	41.0	159.0	Q00613	Q00613	1.0
Q01094_1	Q01094_1	100.0	58.0	0	0	1	58	13	70	4.63e-34	115.0	58.0	70.0	Q01094	Q01094	1.0
Q04206_1	Q04206_2	100.0	44.0	0	0	1	44	19	62	1.4699999999999999e-24	87.2	44.0	62.0	Q04206	Q04206	1.0
Q12772_1	Q12772_1	100.0	49.0	0	0	1	49	2	50	3e-27	94.8	55.0	50.0	Q12772	Q12772	0.98
Q14209_1	Q14209_1	100.0	42.0	0	0	1	42	38	79	1.86e-23	85.0	42.0	79.0	Q14209	Q14209	1.0
Q15329_1	Q15329_1	100.0	41.0	0	0	1	41	16	56	1.67e-24	86.3	41.0	60.0	Q15329	Q15329	1.0
Q15596_2	Q15596_1	100.0	39.0	0	0	1	39	50	88	9.44e-22	80.8	39.0	122.0	Q15596	Q15596	1.0
Q16254_1	Q16254_1	100.0	41.0	0	0	1	41	31	71	1.4599999999999998e-23	85.0	41.0	77.0	Q16254	Q16254	1.0
Q16665_1	Q16665_1	100.0	39.0	0	0	1	39	4	42	2.81e-22	79.1	39.0	45.0	Q16665	Q16665	1.0
Q96BA8_1	Q96BA8_1	100.0	49.0	0	0	1	49	12	60	3.7300000000000003e-26	94.8	75.0	60.0	Q96BA8	Q96BA8	0.8166666666666667
Q9UBX2_1	Q9UBX2_1	100.0	58.0	0	0	1	58	41	98	2.8e-29	104.0	58.0	98.0	Q9UBX2	Q9UBX2	1.0
Q9Y2N7_1	Q9Y2N7_1	100.0	44.0	0	0	1	44	10	53	2.53e-25	88.9	47.0	53.0	Q9Y2N7	Q9Y2N7	0.9361702127659575
