qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot
O00716_1	O00716_1	100.0	61	0	0	15	75	1	61	4.71e-36	122.0	75	61	O00716	O00716
O14948_1	O14948_1	100.0	56	0	0	30	85	1	56	3.19e-33	117.0	119	56	O14948	O14948
O15370_1	O15370_1	100.0	21	0	0	1	21	135	155	1.04e-11	51.5	33	155	O15370	O15370
O15391_1	O15391_1	100.0	40	0	0	32	71	1	40	6.81e-22	84.2	71	70	O15391	O15391
O43889_1	O43889_1	100.0	60	0	0	1	60	1	60	4.83e-33	115.0	92	60	O43889	O43889
O75030_1	O75030_1	100.0	40	0	0	1	40	1	40	8.12e-22	81.2	72	40	O75030	O75030
O95644_2	O95644_1	100.0	38	0	0	193	230	1	38	4.41e-21	81.7	241	38	O95644	O95644
O95718_1	O95718_1	100.0	40	0	0	146	185	1	40	1.3400000000000002e-21	83.3	231	40	O95718	O95718
P01106_1	P01106_1	100.0	49	0	0	87	135	1	49	1.57e-29	106.0	144	49	P01106	P01106
P04637_1	P04637_1	100.0	42	0	0	20	61	1	42	2.0299999999999998e-23	85.9	61	51	P04637	P04637
P10914_1	P10914_1	100.0	15	0	0	1	15	42	56	2.78e-05	33.7	51	56	P10914	P10914
P10914_1	P10914_1	50.0	14	7	0	8	21	32	45	40.0	14.6	51	56	P10914	P10914
P11473_1	P11473_1	100.0	44	0	0	1	44	9	52	1.66e-23	84.2	44	53	P11473	P11473
P15172_1	P15172_1	100.0	63	0	0	1	63	2	64	1.73e-37	128.0	97	64	P15172	P15172
P17947_1	P17947_1	100.0	48	0	0	21	68	1	48	9.79e-28	98.6	78	48	P17947	P17947
P18850_1	P18850_1	100.0	87	0	0	6	92	1	87	9.44e-57	187.0	150	87	P18850	P18850
P19532_1	P19532_1	100.0	41	0	0	47	87	1	41	3.5299999999999995e-23	87.2	122	41	P19532	P19532
P19532_1	P19532_1	29.412	17	12	0	3	19	21	37	760.0	12.1	122	41	P19532	P19532
P35716_1	P35716_3	100.0	33	0	0	1	33	20	52	9.32e-20	72.7	33	52	P35716	P35716
P36956_1	P36956_1	100.0	59	0	0	2	60	1	59	6.270000000000001e-35	117.0	60	59	P36956	P36956
P41161_1	P41161_1	100.0	31	0	0	1	31	10	40	4.88e-15	60.0	31	58	P41161	P41161
P42229_1	P42229_1	100.0	44	0	0	17	60	1	44	1.35e-25	92.3	73	44	P42229	P42229
P43268_1	P43268_1	100.0	42	0	0	1	42	7	48	1.1e-23	85.0	42	57	P43268	P43268
P50549_1	P50549_1	100.0	32	0	0	1	32	5	36	3.67e-16	63.0	32	53	P50549	P50549
P52630_1	P52630_1	100.0	15	0	0	1	15	74	88	0.000206	32.5	83	88	P52630	P52630
P52630_1	P52630_1	64.706	17	6	0	6	22	67	83	8.2	18.0	83	88	P52630	P52630
P52630_1	P52630_1	40.0	20	12	0	18	37	33	52	27.0	16.3	83	88	P52630	P52630
P52630_1	P52630_1	80.0	5	1	0	6	10	33	37	975.0	11.2	83	88	P52630	P52630
P57073_1	P57073_1	100.0	45	0	0	31	75	1	45	1.8100000000000002e-27	97.3	75	46	P57073	P57073
P78545_1	P78545_1	100.0	31	0	0	1	31	2	32	7.06e-17	64.7	31	52	P78545	P78545
Q00613_1	Q00613_1	100.0	51	0	0	101	151	1	51	5.94e-28	102.0	159	51	Q00613	Q00613
Q01094_1	Q01094_1	100.0	68	0	0	3	70	1	68	2.9199999999999997e-40	133.0	70	68	Q01094	Q01094
Q03164_1	Q03164_3	100.0	21	0	0	57	77	1	21	1.68e-09	47.3	84	46	Q03164	Q03164
Q03933_1	Q03933_2	100.0	51	0	0	1	51	1	51	2.18e-28	99.5	65	51	Q03933	Q03933
Q04206_2	Q04206_1	100.0	48	0	0	15	62	1	48	1.4600000000000002e-26	94.8	62	56	Q04206	Q04206
Q07869_1	Q07869_1	100.0	30	0	0	1	30	14	43	7.73e-15	59.2	30	57	Q07869	Q07869
