qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot	short_cov
A8MYZ6:430_473	A8MYZ6_1	100.0	44.0	0	0	1	44	2	45	2.79e-25	86.7	44.0	48.0	A8MYZ6	A8MYZ6	1.0
O15156:301_316	O15156_1	100.0	15.0	0	0	1	15	36	50	3.44e-06	31.2	16.0	50.0	O15156	O15156	0.9375
O15391:98_116	O15391_1	100.0	19.0	0	0	1	19	27	45	4.58e-09	39.7	19.0	52.0	O15391	O15391	1.0
O43524:600_646	O43524_1	100.0	41.0	0	0	7	47	1	41	1.1199999999999999e-23	82.5	47.0	43.0	O43524	O43524	0.9534883720930233
O75461:149_164	O75461_1	100.0	16.0	0	0	1	16	6	21	5.98e-07	32.9	16.0	40.0	O75461	O75461	1.0
P18848:83_99	P18848_1	100.0	17.0	0	0	1	17	83	99	4.91e-08	36.3	17.0	134.0	P18848	P18848	1.0
P18850:57_75	P18850_1	100.0	19.0	0	0	1	19	48	66	2.61e-09	40.5	19.0	74.0	P18850	P18850	1.0
P19532:512_529	P19532_1	100.0	18.0	0	0	1	18	22	39	2.49e-08	37.5	18.0	51.0	P19532	P19532	1.0
P35716:423_437	P35716_1	100.0	15.0	0	0	1	15	30	44	3.87e-07	33.3	15.0	45.0	P35716	P35716	1.0
P98177:463_504	P98177_1	100.0	42.0	0	0	1	42	2	43	3.3899999999999996e-24	83.3	42.0	44.0	P98177	P98177	1.0
Q06945:399_417	Q06945_1	100.0	19.0	0	0	1	19	4	22	3.05e-08	37.1	19.0	43.0	Q06945	Q06945	1.0
Q13129:498_513	Q13129_1	100.0	16.0	0	0	1	16	20	35	3.6e-07	33.7	16.0	45.0	Q13129	Q13129	1.0
Q14494:440_464	Q14494_1	100.0	25.0	0	0	1	25	8	32	8.36e-13	51.1	25.0	53.0	Q14494	Q14494	1.0
Q15329:298_317	Q15329_1	100.0	16.0	0	0	5	20	1	16	2.79e-07	34.6	20.0	41.0	Q15329	Q15329	0.8
Q6P1N0:24_44	Q6P1N0_1	100.0	21.0	0	0	1	21	3	23	5.4e-10	42.2	21.0	39.0	Q6P1N0	Q6P1N0	1.0
Q8IUM7:689_706	Q8IUM7_1	100.0	18.0	0	0	1	18	7	24	7.22e-10	41.8	18.0	105.0	Q8IUM7	Q8IUM7	1.0
Q8IUM7:743_758	Q8IUM7_1	100.0	16.0	0	0	1	16	61	76	2.02e-07	34.6	16.0	105.0	Q8IUM7	Q8IUM7	1.0
Q8IUX7:694_709	Q8IUX7_2	100.0	16.0	0	0	1	16	29	44	1.9e-07	34.6	16.0	49.0	Q8IUX7	Q8IUX7	1.0
Q8WTR7:97_112	Q8WTR7_1	100.0	16.0	0	0	1	16	97	112	4.39e-08	36.3	16.0	128.0	Q8WTR7	Q8WTR7	1.0
Q9Y2N7:475_490	Q9Y2N7_1	100.0	16.0	0	0	1	16	13	28	3.97e-06	30.8	16.0	47.0	Q9Y2N7	Q9Y2N7	1.0
Q9Y4A8:383_401	Q9Y4A8_1	100.0	19.0	0	0	1	19	9	27	1.16e-08	38.4	19.0	53.0	Q9Y4A8	Q9Y4A8	1.0
