name,B22_corr1_log10,rgg,tad,epsilon,eps_scaled,y_scaled
U3KQK1_1_1__Q8WTR7_97_112,3.07563904643812,U3KQK1_1_1,Q8WTR7_97_112,-9.8889336482626,0.342178767513024,0.40597011089468793
U3KQK1_1_1__Q8N895_2_20,2.96481598233686,U3KQK1_1_1,Q8N895_2_20,0.7584220802852215,0.2306703218933611,0.35942381239342025
U3KQK1_1_1__Q8IWI9_2920_2942,2.99080588560285,U3KQK1_1_1,Q8IWI9_2920_2942,-2.714335248982998,0.26704008182940925,0.3703397151908064
U3KQK1_1_1__Q8IUX7_694_709,3.47995384667095,U3KQK1_1_1,Q8IUX7_694_709,-15.753892349307204,0.40360175788269,0.5757845582097555
U3KQK1_1_1__P86452_928_944,3.21170799870138,U3KQK1_1_1,P86452_928_944,-10.9874943081841,0.35368385804722235,0.4631198217438076
U3KQK1_1_1__P32242_63_78,2.87365901935968,U3KQK1_1_1,P32242_63_78,-4.777769410222497,0.28865017374560287,0.32113738489193955
U3KQK1_1_1__O00712_130_145,2.89121814624465,U3KQK1_1_1,O00712_130_145,-7.15910749756387,0.3135896343388439,0.3285123150839315
Q9Y6R9_5_1__Q12772_409_425,3.2401420719948,Q9Y6R9_5_1,Q12772_409_425,-7.369199230388219,0.3157898991897657,0.4750622894409033
Q9Y6R9_5_1__P35716_423_437,3.2576543413933,Q9Y6R9_5_1,P35716_423_437,-11.028269184481276,0.35411088830639187,0.48241753922999414
Q9Y6N7_7_1__Q14494_440_464,2.47175356909772,Q9Y6N7_7_1,Q14494_440_464,5.313805291555655,0.18296235439033912,0.15233487786067135
Q9Y5W3_7_1__Q9Y2K7_74_93,2.85075545575032,Q9Y5W3_7_1,Q9Y2K7_74_93,-3.2579469212324845,0.2727332599422357,0.31151776178234963
Q9Y5B9_6_1__Q12800_42_67,2.82089910988705,Q9Y5B9_6_1,Q12800_42_67,-1.503902706080103,0.2543633708386545,0.2989779317570845
Q9Y566_13_1__O14545_278_293,2.73839372812739,Q9Y566_13_1,O14545_278_293,-1.2123424744169649,0.2513098964299714,0.26432521611084264
Q9Y520_1_2__Q9Y6Y1_1090_1109,3.39738471260824,Q9Y520_1_2,Q9Y6Y1_1090_1109,-13.42509370849088,0.37921253644413583,0.5411050662444148
Q9Y520_1_2__P41182_142_156,3.01152550513571,Q9Y520_1_2,P41182_142_156,-12.084361330323617,0.36517121132145425,0.37904206973613813
Q9Y520_1_1__Q92786_295_310,2.89677253993684,Q9Y520_1_1,Q92786_295_310,-3.7098124175219698,0.2774655916502203,0.3308451910866561
Q9Y4Z0_1_1__Q15047_191_205,2.83924212107468,Q9Y4Z0_1_1,Q15047_191_205,-5.6600051965528095,0.297889720513066,0.30668209768207105
Q9Y4Z0_1_1__P98177_463_504,4.26456276957286,Q9Y4Z0_1_1,P98177_463_504,-15.975269253496286,0.40592021094386005,0.9053246357046469
Q9Y4Z0_1_1__P41182_142_156,2.94428873740419,Q9Y4Z0_1_1,P41182_142_156,-8.201308975899757,0.3245044821033602,0.3508022562417903
Q9Y4F5_6_1__O43147_959_978,2.89808351262522,Q9Y4F5_6_1,O43147_959_978,-3.415169359484203,0.27437983118048,0.33139580685039804
Q9Y3Y2_3_1__Q9UJU2_14_65,4.43328569008154,Q9Y3Y2_3_1,Q9UJU2_14_65,-32.39621301436691,0.5778947331694194,0.9761891934182556
Q9Y3X0_1_1__Q8NAM6_140_155,2.98229881435909,Q9Y3X0_1_1,Q8NAM6_140_155,-4.237832995230745,0.2829954861495311,0.36676669832202713
Q9Y3T6_3_1__Q63HK3_18_35,2.8862629145335,Q9Y3T6_3_1,Q63HK3_18_35,-2.6590119161310124,0.26646068737597856,0.3264310904197281
Q9Y3Q4_1_1__Q6ZN18_445_460,2.87973790766532,Q9Y3Q4_1_1,Q6ZN18_445_460,-5.867535453559157,0.30006315934312033,0.32369055152674436
Q9Y2W1_1_4__Q99592_154_172,3.6642889052655905,Q9Y2W1_1_4,Q99592_154_172,-8.876596498457218,0.33157668518424716,0.6532063000752855
Q9Y2W1_1_3__O60284_922_950,3.28270195773761,Q9Y2W1_1_3,O60284_922_950,-5.012111377464226,0.29110440831583667,0.4929376763202502
Q9Y2W1_1_2__Q9NSC2_819_836,3.12654983328339,Q9Y2W1_1_2,Q9NSC2_819_836,-2.627518613296216,0.26613086189291313,0.42735292232164096
Q9Y2W1_1_1__Q6ZN30_635_654,3.46296431402698,Q9Y2W1_1_1,Q6ZN30_635_654,-8.2626811366355,0.3251472251864727,0.5686488607422978
Q9Y2J0_2_1__Q8WTR7_97_112,2.78721540131787,Q9Y2J0_2_1,Q8WTR7_97_112,-2.1661680329357047,0.2612991940672767,0.2848305882739787
Q9Y2H5_5_2__Q63HK3_18_35,2.74249047454638,Q9Y2H5_5_2,Q63HK3_18_35,0.5557699931663596,0.23279267225079459,0.266045872214775
Q9Y2H5_5_2__Q14494_171_187,2.90677329679714,Q9Y2H5_5_2,Q14494_171_187,-4.249249691784538,0.2831150518068906,0.3350455641573086
Q9Y2H5_5_1__Q9Y222_349_366,2.38418138529732,Q9Y2H5_5_1,Q9Y222_349_366,1.3822173648382243,0.2241373906812593,0.11555407739609581
Q9Y2H5_5_1__P35716_353_367,2.50616711755765,Q9Y2H5_5_1,P35716_353_367,2.4739414461632325,0.21270389879296778,0.16678875812552427
Q9Y2H0_1_1__Q02447_546_562,2.84854083250828,Q9Y2H0_1_1,Q02447_546_562,-1.731272018522482,0.256744581653663,0.31058760779926126
Q9Y2G9_15_1__Q14938_129_144,3.0026152859161,Q9Y2G9_15_1,Q14938_129_144,-5.317185476800004,0.29429941179679875,0.37529972849272386
Q9Y2G9_15_1__P35869_541_556,3.1556484138044,Q9Y2G9_15_1,P35869_541_556,-6.744976937868033,0.30925249597579774,0.43957448672141736
Q9Y264_5_1__Q99607_95_115,2.94861074591266,Q9Y264_5_1,Q99607_95_115,-0.9502957226100204,0.248565513062059,0.35261752366641635
Q9Y215_3_2__Q12800_42_67,2.98898592858351,Q9Y215_3_2,Q12800_42_67,-3.0172094590569305,0.27021204614098704,0.3695753231992235
Q9Y215_3_2__P54845_13_29,2.89580137531788,Q9Y215_3_2,P54845_13_29,-3.118688575664125,0.2712748244348863,0.3304372965873064
Q9Y215_3_1__Q9P0J7_350_368,2.74847991733893,Q9Y215_3_1,Q9P0J7_350_368,-0.9650776325453344,0.2487203221848309,0.26856147124047564
Q9Y215_3_1__Q9NRY4_772_789,2.67180318892684,Q9Y215_3_1,Q9NRY4_772_789,0.0369984620080643,0.23822570262434478,0.2363568221657241
Q9Y215_3_1__A0AVK6_292_308,2.75148487717078,Q9Y215_3_1,A0AVK6_292_308,0.9405545022957612,0.22876287146218163,0.26982357095276854
Q9UQ35_1_2__Q8N895_2_20,3.03962404193539,Q9UQ35_1_2,Q8N895_2_20,-3.8190462127048974,0.27860958373807043,0.3908436102541999
Q9UQ35_1_2__P35869_541_556,3.17192965279526,Q9UQ35_1_2,P35869_541_556,-9.972117076760568,0.34304993731795996,0.4464126969458398
Q9UQ35_1_2__P18583_144_161,3.95199196127004,Q9UQ35_1_2,P18583_144_161,-21.153834955907588,0.460154691949027,0.7740431712907767
