qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot
O14948_1	O14948_2	100.0	25	0	0	32	56	1	25	4.94e-12	52.8	56	29	O14948	O14948
O15353_2	O15353_1	100.0	49	0	0	1	49	6	54	6.13e-28	97.3	49	54	O15353	O15353
O15370_1	O15370_1	100.0	22	0	0	134	155	1	22	1.01e-11	54.1	155	34	O15370	O15370
O15391_1	O15391_1	100.0	40	0	0	1	40	32	71	1.88e-22	86.3	70	71	O15391	O15391
O43313_1	O43313_1	100.0	60	0	0	1	60	200	259	1.1900000000000001e-35	125.0	60	392	O43313	O43313
O43313_1	O43313_1	76.923	13	0	1	41	50	353	365	12.0	17.6	60	392	O43313	O43313
O43313_1	O43313_1	32.432	37	20	2	11	44	348	382	161.0	14.2	60	392	O43313	O43313
O43313_1	O43313_1	45.0	20	10	1	40	59	41	59	216.0	13.8	60	392	O43313	O43313
O43313_1	O43313_1	53.846	13	6	0	37	49	105	117	350.0	12.9	60	392	O43313	O43313
O43313_1	O43313_1	57.143	7	3	0	16	22	270	276	840.0	11.7	60	392	O43313	O43313
O43524_1	O43524_1	100.0	54	0	0	1	54	6	59	3.34e-33	114.0	54	80	O43524	O43524
O43889_1	O43889_1	100.0	60	0	0	1	60	1	60	4.88e-33	116.0	60	107	O43889	O43889
O60381_1	O60381_1	100.0	36	0	0	14	49	1	36	1.99e-19	76.1	49	84	O60381	O60381
O75030_1	O75030_1	100.0	40	0	0	1	40	1	40	8e-22	81.2	40	68	O75030	O75030
P01100_1	P01100_2	100.0	43	0	0	8	50	1	43	3e-22	85.0	50	99	P01100	P01100
P01100_1	P01100_2	41.667	12	7	0	14	25	78	89	125.0	14.2	50	99	P01100	P01100
P01106_1	P01106_1	100.0	49	0	0	1	49	87	135	8.889999999999999e-30	106.0	49	143	P01106	P01106
P04198_1	P04198_1	100.0	65	0	0	1	65	9	73	9.47e-40	136.0	99	73	P04198	P04198
P04637_1	P04637_1	100.0	51	0	0	1	51	20	70	1.9100000000000002e-29	104.0	51	83	P04637	P04637
P08151_2	P08151_1	100.0	40	0	0	1	40	8	47	3.64e-22	82.1	40	67	P08151	P08151
P10244_1	P10244_1	100.0	60	0	0	1	60	21	80	9.630000000000001e-35	119.0	60	80	P10244	P10244
P10276_1	P10276_2	100.0	44	0	0	1	44	163	206	1.88e-24	90.6	44	309	P10276	P10276
P10276_1	P10276_2	50.0	10	5	0	10	19	104	113	400.0	12.1	44	309	P10276	P10276
P10826_1	P10826-2_2	100.0	52	0	0	1	52	154	205	2.19e-30	109.0	52	302	P10826	P10826
P10826_1	P10826-2_2	71.429	7	2	0	22	28	107	113	437.0	12.5	52	302	P10826	P10826
P10914_1	P10914_1	100.0	47	0	0	1	47	26	72	6.1799999999999995e-28	99.9	56	72	P10914	P10914
P13631_1	P13631_1	100.0	53	0	0	1	53	154	206	2.24e-30	109.0	53	299	P13631	P13631
P13631_1	P13631_1	50.0	10	5	0	19	28	104	113	455.0	12.5	53	299	P13631	P13631
P15036_2	P15036_1	100.0	50	0	0	1	50	8	57	3.3600000000000003e-31	111.0	50	190	P15036	P15036
P15036_3	P15036_1	100.0	40	0	0	1	40	145	184	3.0900000000000003e-21	80.8	40	190	P15036	P15036
P15172_1	P15172_1	100.0	64	0	0	1	64	2	65	1.07e-38	130.0	64	75	P15172	P15172
P17947_1	P17947_1	100.0	48	0	0	1	48	27	74	1.57e-27	99.9	48	111	P17947	P17947
P18848_1	P18848_1	100.0	113	0	0	1	113	1	113	4.38e-70	226.0	141	113	P18848	P18848
P18850_1	P18850_1	100.0	87	0	0	1	87	6	92	9.25e-57	187.0	87	150	P18850	P18850
P19532_2	P19532_2	100.0	62	0	0	1	62	18	79	1.54e-35	123.0	62	104	P19532	P19532
P23497_1	P23497_1	40.0	20	12	0	23	42	19	38	19.0	16.8	59	75	P23497	P23497
P35638_1	P35638_1	100.0	17	0	0	1	17	2	18	5.02e-06	35.0	66	18	P35638	P35638
P35713_1	P35713_2	100.0	44	0	0	1	44	29	72	8.95e-24	88.0	44	91	P35713	P35713
P35716_3	P35716_1	100.0	52	0	0	1	52	73	124	1.9600000000000001e-31	111.0	52	124	P35716	P35716
P35869_1	P35869_1	100.0	38	0	0	1	38	6	43	2.2400000000000002e-22	83.8	38	304	P35869	P35869
P36956_1	P36956_1	100.0	59	0	0	1	59	2	60	3.0799999999999998e-34	118.0	59	92	P36956	P36956
P37231_1	P37231_1	100.0	13	0	0	26	38	1	13	6.78e-05	32.5	38	69	P37231	P37231
P41161_1	P41161_1	100.0	44	0	0	1	44	29	72	6.0299999999999995e-24	89.3	58	72	P41161	P41161
P41161_1	P41161_2	36.0	25	15	1	15	38	49	73	40.0	15.9	58	161	P41161	P41161
P41161_1	P41161_2	44.444	9	5	0	42	50	140	148	477.0	12.5	58	161	P41161	P41161
P41161_2	P41161_3	100.0	60	0	0	2	61	1	60	5.38e-37	123.0	61	60	P41161	P41161
P41161_2	P41161_2	30.769	39	23	3	10	47	47	82	61.0	15.5	61	161	P41161	P41161
P42229_1	P42229_1	100.0	44	0	0	1	44	41	84	1.17e-25	93.5	44	97	P42229	P42229
P43268_1	P43268_1	100.0	32	0	0	13	44	1	32	2.23e-16	65.1	57	32	P43268	P43268
P49715_1	P49715_1	100.0	19	0	0	8	26	52	70	1.92e-08	43.5	41	70	P49715	P49715
