qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot
O14948:55_81	O14948_1	100.0	27	0	0	1	27	55	81	4.12e-15	59.6	27	119	O14948	O14948
O15391:19_38	O15391_1	100.0	7	0	0	14	20	1	7	0.99	17.2	20	71	O15391	O15391
O15391:19_38	O15391_1	41.667	12	7	0	6	17	3	14	122.0	11.2	20	71	O15391	O15391
O15391:98_116	O15391_1	100.0	5	0	0	1	5	67	71	49.0	12.1	19	71	O15391	O15391
P04637:16_56	P04637_1	100.0	41	0	0	1	41	16	56	8.83e-24	84.6	41	61	P04637	P04637
P18850:57_75	P18850_1	100.0	19	0	0	1	19	57	75	1.29e-09	42.2	19	150	P18850	P18850
P35716:423_437	P35716_1	100.0	15	0	0	1	15	15	29	6.03e-07	33.7	15	33	P35716	P35716
P48436:267_286	P48436_1	100.0	20	0	0	1	20	44	63	1.28e-09	42.6	20	84	P48436	P48436
Q03164:2839_2856	Q03164_1	100.0	18	0	0	1	18	8	25	3.44e-09	40.9	18	84	Q03164	Q03164
Q15329:298_317	Q15329_1	100.0	20	0	0	1	20	12	31	1.29e-09	42.6	20	60	Q15329	Q15329
Q15596:110_127	Q15596_1	66.667	6	2	0	7	12	1	6	257.0	10.0	18	122	Q15596	Q15596
Q16665:523_538	Q16665_1	100.0	8	0	0	9	16	1	8	0.21	18.5	16	45	Q16665	Q16665
Q99814:491_510	Q99814_1	100.0	15	0	0	6	20	1	15	3.71e-06	32.5	20	47	Q99814	Q99814
Q99941:76_91	Q99941_1	100.0	11	0	0	1	11	75	85	0.000355	26.5	16	85	Q99941	Q99941
Q9HAP2:268_283	Q9HAP2_1	50.0	14	6	1	1	13	85	98	160.0	10.4	16	124	Q9HAP2	Q9HAP2
Q9HAP2:316_331	Q9HAP2_1	100.0	10	0	0	7	16	1	10	0.002	24.4	16	124	Q9HAP2	Q9HAP2
Q9Y222:154_173	Q9Y222_1	100.0	17	0	0	1	17	68	84	1.89e-08	39.2	20	84	Q9Y222	Q9Y222
Q9Y2N7:475_490	Q9Y2N7_1	100.0	16	0	0	1	16	22	37	6.79e-06	31.2	16	53	Q9Y2N7	Q9Y2N7
