qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot
O00470_1	O00470_1	100.0	56	0	0	1	56	1	56	4.059999999999999e-34	114.0	56	56	O00470	O00470
O14770_1	O14770-4_1	94.928	138	0	1	1	138	1	131	2.49e-80	255.0	138	131	O14770	O14770
O14948_1	O14948_2	100.0	29	0	0	61	89	1	29	4.12e-15	63.0	119	29	O14948	O14948
O14948_2	O14948_1	100.0	44	0	0	1	44	1	44	7.27e-25	91.0	77	44	O14948	O14948
O15350_1	O15350_1	100.0	46	0	0	1	46	1	46	3.47e-27	98.6	46	116	O15350	O15350
O15370_1	O15370_1	100.0	33	0	0	1	33	2	34	1.95e-20	73.2	33	34	O15370	O15370
O15391_1	O15391_1	100.0	71	0	0	1	71	1	71	5.7199999999999996e-46	149.0	71	71	O15391	O15391
O43889_1	O43889_1	100.0	92	0	0	1	92	1	92	2.4e-56	183.0	92	107	O43889	O43889
O75030_1	O75030_1	100.0	68	0	0	1	68	1	68	3.68e-42	139.0	72	68	O75030	O75030
P01106_1	P01106_1	100.0	143	0	0	1	143	1	143	2.45e-98	305.0	144	143	P01106	P01106
P03372_1	P03372_1	100.0	182	0	0	1	182	1	182	1e-121	376.0	184	182	P03372	P03372
P03372_2	P03372_2	100.0	285	0	0	1	285	30	314	0.0	611.0	285	314	P03372	P03372
P04637_1	P04637_1	100.0	61	0	0	1	61	1	61	5.9300000000000004e-36	123.0	61	83	P04637	P04637
P06401_1	P06401_1	100.0	164	0	0	1	164	1	164	2.86e-105	328.0	164	165	P06401	P06401
P06401_2	P06401_2	100.0	91	0	0	1	91	1	91	2.6299999999999996e-54	176.0	91	91	P06401	P06401
P06401_3	P06401_3	100.0	246	0	0	2	247	1	246	2.62e-171	523.0	247	246	P06401	P06401
P08047_1	P08047_2	100.0	106	0	0	1	106	57	162	3.2e-63	210.0	106	180	P08047	P08047
P08047_1	P08047_2	39.286	56	26	5	45	97	26	76	103.0	15.5	106	180	P08047	P08047
P08047_2	P08047_1	100.0	68	0	0	168	235	1	68	4.31e-37	138.0	235	122	P08047	P08047
P08047_2	P08047_1	37.5	32	13	1	4	28	55	86	349.0	15.1	235	122	P08047	P08047
P08047_2	P08047_2	100.0	9	0	0	1	9	172	180	3.0	21.8	235	180	P08047	P08047
P08047_2	P08047_2	46.154	26	14	0	139	164	136	161	24.0	18.9	235	180	P08047	P08047
P08047_2	P08047_2	50.0	12	6	0	173	184	137	148	661.0	14.2	235	180	P08047	P08047
P08047_3	P08047_1	100.0	54	0	0	1	54	69	122	1.78e-27	106.0	115	122	P08047	P08047
P09086_1	P09086_2	100.0	38	0	0	5	42	1	38	2.72e-09	46.0	42	108	P09086	P09086
P09086_2	P09086_1	100.0	27	0	0	16	42	1	27	2.25e-11	51.1	42	43	P09086	P09086
P10243_1	P10243_1	100.0	50	0	0	1	50	14	63	5.260000000000001e-31	108.0	66	63	P10243	P10243
P11831_1	P11831_1	100.0	63	0	0	1	63	9	71	9.09e-37	127.0	95	71	P11831	P11831
P14921_1	P14921_1	100.0	114	0	0	1	114	1	114	6.87e-76	244.0	157	114	P14921	P14921
P15172_1	P15172_1	100.0	73	0	0	1	73	3	75	6.18e-44	147.0	97	75	P15172	P15172
P15336_1	P15336_1	100.0	78	0	0	19	96	1	78	4.46e-51	168.0	112	78	P15336	P15336
P16220_1	P16220_1	100.0	88	0	0	1	88	165	252	1.62e-51	176.0	88	253	P16220	P16220
P17020_1	P17020_1	100.0	149	0	0	1	149	1	149	1.95e-101	314.0	149	149	P17020	P17020
P17544_1	P17544_1	100.0	81	0	0	2	82	1	81	4.92e-82	264.0	296	81	P17544	P17544
P17544_1	P17544_1	63.636	11	2	1	141	149	44	54	9.6	20.2	296	81	P17544	P17544
P17947_1	P17947_1	100.0	78	0	0	1	78	7	84	1.91e-48	161.0	78	111	P17947	P17947
P18850_1	P18850_1	100.0	150	0	0	1	150	1	150	1.91e-99	309.0	150	150	P18850	P18850
P20393_1	P20393_1	100.0	82	0	0	155	236	1	82	1.01e-48	168.0	236	83	P20393	P20393
