qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot
O14896:214_231	O14896_1	100.0	6	0	0	13	18	1	6	8.9	15.9	18	242	O14896	O14896
O14948:55_81	O14948_2	100.0	21	0	0	7	27	1	21	1.6e-09	43.5	27	29	O14948	O14948
O15391:19_38	O15391_1	100.0	7	0	0	14	20	1	7	3.0	17.2	20	71	O15391	O15391
O15391:19_38	O15391_1	41.667	12	7	0	6	17	3	14	375.0	11.2	20	71	O15391	O15391
O15391:98_116	O15391_1	100.0	5	0	0	1	5	67	71	153.0	12.1	19	71	O15391	O15391
O43313:588_602	O43313_1	100.0	15	0	0	1	15	157	171	5.21e-05	29.9	15	392	O43313	O43313
O43313:588_602	O43313_1	80.0	5	1	0	3	7	362	366	480.0	10.4	15	392	O43313	O43313
O43313:588_602	O43313_1	100.0	4	0	0	3	6	181	184	655.0	10.0	15	392	O43313	O43313
O43313:633_647	O43313_1	100.0	15	0	0	1	15	202	216	4.57e-06	32.9	15	392	O43313	O43313
O43524:600_646	O43524_1	100.0	47	0	0	1	47	7	53	3.77e-28	99.9	47	80	O43524	O43524
O94916:592_606	O94916_1	71.429	7	2	0	3	9	435	441	91.0	12.5	15	539	O94916	O94916
O95600:1_18	O95600_1	50.0	8	4	0	11	18	126	133	276.0	11.2	18	160	O95600	O95600
P04198:8_23	P04198_1	100.0	16	0	0	1	16	8	23	2.29e-07	36.7	16	73	P04198	P04198
P04637:16_56	P04637_1	100.0	41	0	0	1	41	16	56	1.13e-23	87.2	41	83	P04637	P04637
P18848:83_99	P18848_1	100.0	17	0	0	1	17	83	99	4e-07	36.3	17	113	P18848	P18848
P18850:57_75	P18850_1	100.0	19	0	0	1	19	57	75	3.98e-09	42.2	19	150	P18850	P18850
P19532:48_64	P19532_1	100.0	17	0	0	1	17	48	64	7.93e-08	38.4	17	127	P19532	P19532
P19532:512_529	P19532_2	100.0	18	0	0	1	18	41	58	3.46e-08	39.7	18	104	P19532	P19532
P35716:353_367	P35716_1	100.0	15	0	0	1	15	36	50	2.75e-05	30.8	15	124	P35716	P35716
P35716:423_437	P35716_1	100.0	15	0	0	1	15	106	120	7.56e-07	35.0	15	124	P35716	P35716
P35869:541_556	P35869_1	100.0	12	0	0	5	16	1	12	1.07e-09	43.5	16	304	P35869	P35869
P37231:218_235	P37231_2	62.5	8	3	0	4	11	2	9	162.0	11.7	18	9	P37231	P37231
P41235:265_282	P41235_1	100.0	18	0	0	1	18	138	155	9.73e-08	38.4	18	242	P41235	P41235
P48436:267_286	P48436_1	100.0	20	0	0	1	20	44	63	3.95e-09	42.6	20	84	P48436	P48436
P98177:463_504	P98177_1	100.0	35	0	0	7	41	1	35	3.87e-18	68.5	42	35	P98177	P98177
Q01201:413_431	Q01201_2	100.0	18	0	0	2	19	1	18	4.33e-08	39.2	19	166	Q01201	Q01201
Q01201:413_431	Q01201_2	40.0	15	9	0	1	15	66	80	238.0	11.7	19	166	Q01201	Q01201
Q03164:2839_2856	Q03164_1	100.0	18	0	0	1	18	11	28	1.24e-08	40.9	18	55	Q03164	Q03164
Q07869:360_378	Q07869_1	100.0	19	0	0	1	19	122	140	3.04e-08	39.7	19	230	Q07869	Q07869
Q08050:727_762	Q08050_1	100.0	36	0	0	1	36	17	52	4.49e-20	74.9	36	53	Q08050	Q08050
Q12778:597_631	Q12778_1	100.0	35	0	0	1	35	16	50	2.97e-19	73.6	35	74	Q12778	Q12778
Q13285:373_392	Q13285_1	100.0	20	0	0	1	20	241	260	2.5e-17	66.0	20	329	Q13285	Q13285
Q13887:201_217	Q13887_1	100.0	17	0	0	1	17	201	217	9.8e-08	38.0	17	238	Q13887	Q13887
Q14494:171_187	Q14494_1	100.0	15	0	0	3	17	1	15	5.88e-06	32.9	17	143	Q14494	Q14494
Q14494:171_187	Q14494_1	100.0	4	0	0	1	4	10	13	652.0	10.4	17	143	Q14494	Q14494
Q15329:298_317	Q15329_1	100.0	20	0	0	1	20	77	96	1.61e-09	43.5	20	125	Q15329	Q15329
Q16236:470_488	Q16236_1	62.5	8	3	0	7	14	16	23	924.0	10.0	19	23	Q16236	Q16236
Q16665:523_538	Q16665_1	100.0	8	0	0	9	16	1	8	0.65	18.5	16	45	Q16665	Q16665
Q8IUM7:689_706	Q8IUM7_1	100.0	18	0	0	1	18	93	110	2.34e-09	42.6	18	206	Q8IUM7	Q8IUM7
Q8IUM7:743_758	Q8IUM7_1	100.0	16	0	0	1	16	147	162	1.01e-06	35.0	16	206	Q8IUM7	Q8IUM7
Q8IUM7:743_758	Q8IUM7_1	50.0	8	4	0	5	12	19	26	374.0	10.8	16	206	Q8IUM7	Q8IUM7
Q8IXF0:645_665	Q8IXF0_1	100.0	21	0	0	1	21	195	215	1.12e-19	72.7	21	483	Q8IXF0	Q8IXF0
Q99814:491_510	Q99814_1	100.0	20	0	0	1	20	11	30	2.01e-09	43.5	20	159	Q99814	Q99814
Q9HAP2:316_331	Q9HAP2_1	100.0	10	0	0	7	16	1	10	0.006	24.4	16	124	Q9HAP2	Q9HAP2
Q9Y2N7:475_490	Q9Y2N7_1	100.0	15	0	0	2	16	1	15	0.000128	29.1	16	35	Q9Y2N7	Q9Y2N7
Q9Y4A8:383_401	Q9Y4A8_1	100.0	17	0	0	1	17	86	102	5.29e-07	36.3	19	102	Q9Y4A8	Q9Y4A8
Q9Y6Q9:796_812	Q9Y6Q9_1	100.0	17	0	0	1	17	176	192	4.46e-14	55.8	17	804	Q9Y6Q9	Q9Y6Q9
