qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot	short_cov
A8MYZ6:430_473	A8MYZ6_2	100.0	44.0	0	0	1	44	9	52	7.04e-25	88.9	44.0	66.0	A8MYZ6	A8MYZ6	1.0
O14545:278_293	O14545_1	100.0	16.0	0	0	1	16	47	62	4.2e-07	35.4	16.0	77.0	O14545	O14545	1.0
O14948:55_81	O14948_1	100.0	27.0	0	0	1	27	26	52	9.06e-15	58.7	27.0	56.0	O14948	O14948	1.0
O15156:301_316	O15156_1	100.0	16.0	0	0	1	16	21	36	3.67e-06	32.9	16.0	58.0	O15156	O15156	1.0
O15391:98_116	O15391_1	100.0	19.0	0	0	1	19	36	54	1.16e-08	40.5	19.0	70.0	O15391	O15391	1.0
O43313:633_647	O43313_1	100.0	15.0	0	0	1	15	3	17	5.99e-06	32.0	15.0	60.0	O43313	O43313	1.0
O43524:600_646	O43524_1	100.0	47.0	0	0	1	47	2	48	3.76e-28	96.9	47.0	54.0	O43524	O43524	1.0
O75461:149_164	O75461_1	100.0	16.0	0	0	1	16	13	28	1.63e-06	33.7	16.0	56.0	O75461	O75461	1.0
P04198:8_23	P04198_1	100.0	15.0	0	0	2	16	1	15	4.72e-07	35.4	16.0	99.0	P04198	P04198	0.9375
P04637:16_56	P04637_1	100.0	37.0	0	0	5	41	1	37	9.200000000000001e-21	76.6	41.0	51.0	P04637	P04637	0.9024390243902439
P15918:563_587	P15918_1	100.0	25.0	0	0	1	25	1	25	5.03e-12	50.3	25.0	42.0	P15918	P15918	1.0
P18583:144_161	P18583_1	100.0	18.0	0	0	1	18	13	30	1.72e-07	36.7	18.0	51.0	P18583	P18583	1.0
P18848:83_99	P18848_1	100.0	17.0	0	0	1	17	83	99	1.62e-07	36.7	17.0	141.0	P18848	P18848	1.0
P18850:57_75	P18850_1	100.0	19.0	0	0	1	19	52	70	7.52e-09	40.9	19.0	87.0	P18850	P18850	1.0
P19532:512_529	P19532_2	100.0	18.0	0	0	1	18	24	41	6.59e-08	38.0	18.0	62.0	P19532	P19532	1.0
P31629:257_274	P31629_1	100.0	18.0	0	0	1	18	7	24	4.19e-08	38.4	18.0	38.0	P31629	P31629	1.0
P35716:423_437	P35716_3	100.0	15.0	0	0	1	15	34	48	1.45e-06	33.7	15.0	52.0	P35716	P35716	1.0
P98177:463_504	P98177_1	100.0	41.0	0	0	1	41	2	42	3.2699999999999995e-23	82.1	42.0	42.0	P98177	P98177	0.9761904761904762
Q03112:178_193	Q03112_1	100.0	14.0	0	0	3	16	1	14	1.92e-05	30.8	16.0	109.0	Q03112	Q03112	0.875
Q06945:399_417	Q06945_1	100.0	19.0	0	0	1	19	18	36	6.24e-08	38.4	19.0	90.0	Q06945	Q06945	1.0
Q12778:597_631	Q12778_1	100.0	35.0	0	0	1	35	6	40	1.81e-19	71.9	35.0	50.0	Q12778	Q12778	1.0
Q13129:498_513	Q13129_1	100.0	16.0	0	0	1	16	95	110	1.94e-06	33.7	16.0	117.0	Q13129	Q13129	1.0
Q14494:171_187	Q14494_1	100.0	17.0	0	0	1	17	54	70	1.31e-07	37.1	17.0	175.0	Q14494	Q14494	1.0
