qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot	short_cov
A8MYZ6_1	A8MYZ6_2	100.0	48.0	0	0	1	48	8	55	2.86e-27	96.1	48.0	66.0	A8MYZ6	A8MYZ6	1.0
O00409_1	O00409_1	100.0	54.0	0	0	1	54	4	57	6.91e-33	110.0	54.0	59.0	O00409	O00409	1.0
O00716_1	O00716_1	100.0	57.0	0	0	1	57	5	61	8.659999999999999e-34	113.0	57.0	61.0	O00716	O00716	1.0
O15060_1	O15060_1	100.0	46.0	0	0	1	46	9	54	2.3800000000000001e-26	94.0	60.0	54.0	O15060	O15060	0.8518518518518519
O15353_1	O15353_2	100.0	46.0	0	0	1	46	2	47	4.47e-26	91.0	46.0	49.0	O15353	O15353	1.0
O15391_1	O15391_1	100.0	52.0	0	0	1	52	10	61	3.07e-31	107.0	52.0	70.0	O15391	O15391	1.0
O43309_1	O43309_1	100.0	50.0	0	0	1	50	7	56	1.1300000000000001e-26	95.6	50.0	82.0	O43309	O43309	1.0
O43524_1	O43524_1	100.0	43.0	0	0	1	43	8	50	1.43e-24	87.2	43.0	54.0	O43524	O43524	1.0
O43889_1	O43889_1	100.0	54.0	0	0	1	54	2	55	1.64e-29	102.0	54.0	60.0	O43889	O43889	1.0
O60304_1	O60304_1	100.0	49.0	0	0	1	49	5	53	3.81e-27	96.1	49.0	67.0	O60304	O60304	1.0
O60678_1	O60678_1	100.0	54.0	0	0	1	54	90	143	1.05e-31	112.0	54.0	149.0	O60678	O60678	1.0
O75461_1	O75461_1	100.0	40.0	0	0	1	40	8	47	4.73e-22	80.0	40.0	56.0	O75461	O75461	1.0
O95785_1	O95785_1	100.0	38.0	0	0	1	38	66	103	4.28e-21	79.1	38.0	110.0	O95785	O95785	1.0
O96006_1	O96006_1	100.0	39.0	0	0	1	39	3	41	3.7300000000000006e-21	77.4	39.0	55.0	O96006	O96006	1.0
P01100_1	P01100_1	100.0	38.0	0	0	1	38	7	44	2.09e-20	74.9	38.0	50.0	P01100	P01100	1.0
P04150_1	P04150_1	100.0	46.0	0	0	1	46	13	58	4.43e-26	91.8	46.0	59.0	P04150	P04150	1.0
P04198_1	P04198_1	100.0	40.0	0	0	1	40	9	48	1.48e-22	83.8	40.0	99.0	P04198	P04198	1.0
P0CG23_1	P0CG23_1	100.0	56.0	0	0	1	56	15	70	3.16e-24	91.0	56.0	138.0	P0CG23	P0CG23	1.0
P11473_1	P11473_1	100.0	41.0	0	0	1	41	10	50	1.1400000000000001e-21	79.1	41.0	53.0	P11473	P11473	1.0
P15172_1	P15172_1	100.0	48.0	0	0	1	48	2	49	1.5500000000000002e-26	94.0	48.0	64.0	P15172	P15172	1.0
P17014_1	P17014_1	100.0	40.0	0	0	1	40	10	49	1.2e-22	82.5	40.0	63.0	P17014	P17014	1.0
P17947_1	P17947_1	100.0	38.0	0	0	1	38	3	40	1.98e-21	77.4	38.0	48.0	P17947	P17947	1.0
P18848_1	P18848_1	100.0	134.0	0	0	1	134	1	134	3.52e-86	271.0	134.0	141.0	P18848	P18848	1.0
P18850_1	P18850_1	100.0	74.0	0	0	1	74	5	78	5.620000000000001e-47	153.0	74.0	87.0	P18850	P18850	1.0
P19532_1	P19532_2	100.0	51.0	0	0	1	51	3	53	1.94e-28	99.0	51.0	62.0	P19532	P19532	1.0
P19838_1	P19838_2	100.0	44.0	0	0	1	44	16	59	4.28e-26	93.1	44.0	74.0	P19838	P19838	1.0
P35638_1	P35638_1	100.0	41.0	0	0	1	41	8	48	3.39e-22	81.2	41.0	66.0	P35638	P35638	1.0
P35716_1	P35716_3	100.0	45.0	0	0	1	45	5	49	5.7900000000000005e-27	93.5	45.0	52.0	P35716	P35716	1.0
P36956_1	P36956_1	100.0	51.0	0	0	1	51	2	52	8.149999999999999e-30	102.0	51.0	59.0	P36956	P36956	1.0
P41161_1	P41161_1	100.0	52.0	0	0	1	52	4	55	3.0199999999999998e-30	103.0	52.0	58.0	P41161	P41161	1.0
P41161_2	P41161_2	100.0	39.0	0	0	1	39	21	59	2.98e-22	80.8	39.0	61.0	P41161	P41161	1.0
P43268_1	P43268_1	100.0	51.0	0	0	1	51	4	54	2.84e-30	103.0	51.0	57.0	P43268	P43268	1.0
P49910_1	P49910_1	100.0	40.0	0	0	1	40	8	47	2.64e-22	80.8	40.0	58.0	P49910	P49910	1.0
P50549_1	P50549_1	100.0	47.0	0	0	1	47	4	50	1.57e-27	95.2	47.0	53.0	P50549	P50549	1.0
P52630_1	P52630_1	100.0	70.0	0	0	1	70	4	73	3.75e-37	127.0	70.0	88.0	P52630	P52630	1.0
P54274_1	P54274_1	100.0	49.0	0	0	1	49	1	49	2e-27	95.2	49.0	53.0	P54274	P54274	1.0
P78413_1	P78413_1	100.0	40.0	0	0	1	40	22	61	2.0600000000000002e-21	79.5	40.0	69.0	P78413	P78413	1.0
P78415_1	P78415_1	100.0	39.0	0	0	1	39	3	41	7.79e-19	70.6	39.0	47.0	P78415	P78415	1.0
P78545_1	P78545_1	100.0	40.0	0	0	1	40	7	46	7.81e-23	82.1	40.0	52.0	P78545	P78545	1.0
P98177_1	P98177_1	100.0	42.0	0	0	1	42	1	42	7.54e-24	84.2	44.0	42.0	P98177	P98177	1.0
Q00613_1	Q00613_1	100.0	41.0	0	0	1	41	2	42	1.49e-22	81.2	41.0	51.0	Q00613	Q00613	1.0
Q01094_1	Q01094_1	100.0	58.0	0	0	1	58	11	68	7.36e-34	115.0	58.0	68.0	Q01094	Q01094	1.0
Q03701_1	Q03701_1	100.0	46.0	0	0	1	46	14	59	8.49e-25	90.1	46.0	85.0	Q03701	Q03701	1.0
Q04206_1	Q04206_1	100.0	44.0	0	0	1	44	5	48	6.83e-24	85.5	44.0	56.0	Q04206	Q04206	1.0
Q05516_1	Q05516_1	100.0	60.0	0	0	1	60	2	61	1.5399999999999999e-34	116.0	60.0	62.0	Q05516	Q05516	1.0
Q06945_1	Q06945_1	100.0	43.0	0	0	1	43	15	57	5.050000000000001e-21	79.5	43.0	90.0	Q06945	Q06945	1.0
Q12772_1	Q12772_1	100.0	55.0	0	0	1	55	1	55	8.040000000000001e-32	108.0	55.0	58.0	Q12772	Q12772	1.0
Q13129_1	Q13129_1	100.0	42.0	0	0	1	42	76	117	1.35e-22	84.6	45.0	117.0	Q13129	Q13129	0.9333333333333333
Q13398_1	Q13398_1	100.0	56.0	0	0	1	56	2	57	2.6100000000000003e-35	117.0	56.0	60.0	Q13398	Q13398	1.0
Q14209_1	Q14209_1	100.0	42.0	0	0	1	42	10	51	2.64e-23	83.3	42.0	51.0	Q14209	Q14209	1.0
Q14494_1	Q14494_2	100.0	53.0	0	0	1	53	18	70	2.4600000000000002e-29	103.0	53.0	82.0	Q14494	Q14494	1.0
Q14872_1	Q14872_1	100.0	41.0	0	0	1	41	6	46	4.1599999999999994e-23	82.9	41.0	54.0	Q14872	Q14872	1.0
Q15047_1	Q15047_2	100.0	39.0	0	0	1	39	12	50	3.65e-22	80.0	39.0	50.0	Q15047	Q15047	1.0
Q15329_1	Q15329_1	100.0	41.0	0	0	1	41	7	47	3.5e-24	85.0	41.0	48.0	Q15329	Q15329	1.0
Q15596_1	Q15596_1	100.0	40.0	0	0	1	40	12	51	2.98e-22	81.2	40.0	61.0	Q15596	Q15596	1.0
Q15596_2	Q15596_2	100.0	39.0	0	0	1	39	3	41	2.04e-21	79.5	39.0	72.0	Q15596	Q15596	1.0
Q15776_1	Q15776_1	100.0	44.0	0	0	1	44	78	121	8.62e-22	82.5	44.0	124.0	Q15776	Q15776	1.0
Q15911_1	Q15911_2	100.0	39.0	0	0	1	39	17	55	5.39e-21	77.4	39.0	59.0	Q15911	Q15911	1.0
Q16254_1	Q16254_1	100.0	41.0	0	0	1	41	27	67	2.5299999999999997e-23	84.6	41.0	68.0	Q16254	Q16254	1.0
Q16665_1	Q16665_3	100.0	39.0	0	0	1	39	27	65	1.2200000000000001e-21	80.8	39.0	87.0	Q16665	Q16665	1.0
Q2KHR2_1	Q2KHR2_1	100.0	42.0	0	0	1	42	8	49	7.859999999999999e-24	85.9	42.0	65.0	Q2KHR2	Q2KHR2	1.0
Q3SY52_1	Q3SY52_1	100.0	39.0	0	0	1	39	2	40	1.3e-22	80.4	39.0	46.0	Q3SY52	Q3SY52	1.0
Q5TGY3_1	Q5TGY3_1	100.0	39.0	0	0	1	39	8	46	4.12e-19	73.2	39.0	78.0	Q5TGY3	Q5TGY3	1.0
Q6NT04_1	Q6NT04_1	100.0	39.0	0	0	1	39	9	47	3.21e-22	80.0	39.0	50.0	Q6NT04	Q6NT04	1.0
Q6P1N0_1	Q6P1N0_1	100.0	39.0	0	0	1	39	8	46	1.08e-20	75.7	39.0	50.0	Q6P1N0	Q6P1N0	1.0
Q6P280_1	Q6P280_1	100.0	40.0	0	0	1	40	4	43	1.6999999999999997e-23	84.6	40.0	65.0	Q6P280	Q6P280	1.0
Q6R2W3_1	Q6R2W3_1	100.0	46.0	0	0	1	46	9	54	2.2799999999999998e-24	90.1	46.0	137.0	Q6R2W3	Q6R2W3	1.0
Q6ZRS2_1	Q6ZRS2_2	100.0	48.0	0	0	1	48	2	49	1.39e-26	94.0	58.0	49.0	Q6ZRS2	Q6ZRS2	0.9795918367346939
Q6ZSZ6_1	Q6ZSZ6_1	100.0	38.0	0	0	1	38	8	45	2.75e-20	74.4	38.0	46.0	Q6ZSZ6	Q6ZSZ6	1.0
Q6ZV50_1	Q6ZV50_1	100.0	56.0	0	0	1	56	2	57	3.16e-35	118.0	56.0	73.0	Q6ZV50	Q6ZV50	1.0
Q7RTS3_1	Q7RTS3_1	100.0	74.0	0	0	1	74	1	74	4.3599999999999996e-45	147.0	74.0	75.0	Q7RTS3	Q7RTS3	1.0
Q7Z340_1	Q7Z340_1	100.0	38.0	0	0	1	38	3	40	8.459999999999999e-23	82.1	38.0	57.0	Q7Z340	Q7Z340	1.0
Q7Z3V5_1	Q7Z3V5_1	100.0	38.0	0	0	1	38	1	38	1.06e-22	80.4	38.0	42.0	Q7Z3V5	Q7Z3V5	1.0
Q7Z7K2_1	Q7Z7K2_1	100.0	38.0	0	0	1	38	16	53	9.68e-21	76.1	38.0	55.0	Q7Z7K2	Q7Z7K2	1.0
Q86UP3_1	Q86UP3_1	100.0	43.0	0	0	5	47	1	43	9.36e-24	84.6	47.0	46.0	Q86UP3	Q86UP3	0.9347826086956522
Q86UP3_2	Q86UP3_3	100.0	39.0	0	0	1	39	9	47	2.7800000000000003e-21	77.8	39.0	53.0	Q86UP3	Q86UP3	1.0
Q86W11_1	Q86W11_1	100.0	43.0	0	0	1	43	90	132	4.34e-22	82.9	43.0	155.0	Q86W11	Q86W11	1.0
Q8IUM7_1	Q8IUM7_1	100.0	105.0	0	0	1	105	6	110	2.54e-67	215.0	105.0	125.0	Q8IUM7	Q8IUM7	1.0
Q8IUX7_1	Q8IUX7_1	100.0	42.0	0	0	1	42	5	46	9.249999999999999e-23	82.5	42.0	58.0	Q8IUX7	Q8IUX7	1.0
Q8IUX7_2	Q8IUX7_2	100.0	49.0	0	0	1	49	4	52	1.7000000000000001e-29	100.0	49.0	53.0	Q8IUX7	Q8IUX7	1.0
Q8IUX7_3	Q8IUX7_3	100.0	75.0	0	0	1	75	2	76	2.3099999999999998e-39	132.0	75.0	76.0	Q8IUX7	Q8IUX7	1.0
Q8IWI9_1	Q8IWI9_4	100.0	130.0	0	0	1	130	8	137	4.72e-82	261.0	130.0	155.0	Q8IWI9	Q8IWI9	1.0
Q8IWY8_1	Q8IWY8_1	100.0	38.0	0	0	1	38	6	43	9.910000000000001e-21	75.7	38.0	48.0	Q8IWY8	Q8IWY8	1.0
Q8IX15_1	Q8IX15_1	100.0	39.0	0	0	1	39	7	45	9.42e-21	75.7	40.0	45.0	Q8IX15	Q8IX15	0.975
Q8IY51_1	Q8IY51_1	100.0	47.0	0	0	1	47	7	53	4e-25	91.8	47.0	101.0	Q8IY51	Q8IY51	1.0
Q8N587_1	Q8N587_1	100.0	40.0	0	0	1	40	10	49	1.04e-22	82.5	40.0	64.0	Q8N587	Q8N587	1.0
Q8N7M2_1	Q8N7M2_1	100.0	39.0	0	0	1	39	11	49	8.15e-23	82.1	39.0	54.0	Q8N7M2	Q8N7M2	1.0
Q8N8E2_1	Q8N8E2_1	100.0	73.0	0	0	1	73	5	77	4.7399999999999996e-42	139.0	73.0	77.0	Q8N8E2	Q8N8E2	1.0
Q8NCP5_1	Q8NCP5_1	100.0	45.0	0	0	1	45	1	45	3.37e-26	91.8	45.0	54.0	Q8NCP5	Q8NCP5	1.0
Q8NEP9_1	Q8NEP9_1	100.0	39.0	0	0	1	39	7	45	9.64e-22	78.7	39.0	48.0	Q8NEP9	Q8NEP9	1.0
Q8NF99_1	Q8NF99_1	100.0	47.0	0	0	1	47	8	54	4.09e-26	93.1	47.0	72.0	Q8NF99	Q8NF99	1.0
Q8NFU7_1	Q8NFU7_2	100.0	41.0	0	0	1	41	2	42	1.81e-22	80.8	41.0	50.0	Q8NFU7	Q8NFU7	1.0
Q8WTR7_1	Q8WTR7_1	100.0	128.0	0	0	1	128	1	128	3.43e-82	261.0	128.0	152.0	Q8WTR7	Q8WTR7	1.0
Q8WW38_1	Q8WW38_1	100.0	52.0	0	0	1	52	1	52	3.24e-30	102.0	52.0	53.0	Q8WW38	Q8WW38	1.0
Q8WY36_1	Q8WY36_1	100.0	44.0	0	0	1	44	2	45	4.92e-17	66.4	46.0	45.0	Q8WY36	Q8WY36	0.9777777777777777
Q8WYA1_1	Q8WYA1_1	100.0	49.0	0	0	1	49	20	68	4.0000000000000003e-29	101.0	49.0	68.0	Q8WYA1	Q8WYA1	1.0
Q8WYN3_1	Q8WYN3_1	100.0	44.0	0	0	1	44	11	54	5.73e-25	88.4	44.0	57.0	Q8WYN3	Q8WYN3	1.0
Q92949_1	Q92949_2	100.0	114.0	0	0	1	114	4	117	1.96e-72	230.0	114.0	122.0	Q92949	Q92949	1.0
Q96AP4_1	Q96AP4_1	100.0	38.0	0	0	1	38	2	39	8.75e-22	80.0	38.0	66.0	Q96AP4	Q96AP4	1.0
Q96BA8_1	Q96BA8_1	100.0	75.0	0	0	1	75	2	76	1.02e-44	147.0	75.0	87.0	Q96BA8	Q96BA8	1.0
Q96HQ0_1	Q96HQ0_1	100.0	38.0	0	0	1	38	6	43	6.02e-22	79.1	38.0	49.0	Q96HQ0	Q96HQ0	1.0
Q96JG9_1	Q96JG9_2	100.0	46.0	0	0	1	46	15	60	8.290000000000001e-26	92.3	46.0	72.0	Q96JG9	Q96JG9	1.0
Q96LU7_1	Q96LU7_1	100.0	40.0	0	0	1	40	4	43	4.1800000000000005e-21	76.6	40.0	45.0	Q96LU7	Q96LU7	1.0
Q96LW9_1	Q96LW9_1	100.0	39.0	0	0	1	39	10	48	9.000000000000001e-21	76.6	39.0	56.0	Q96LW9	Q96LW9	1.0
