qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot	short_cov
O43313:588_602	O43313_1	100.0	15.0	0	0	1	15	157	171	5.21e-05	29.9	15.0	392.0	O43313	O43313	1.0
O43313:633_647	O43313_1	100.0	15.0	0	0	1	15	202	216	4.57e-06	32.9	15.0	392.0	O43313	O43313	1.0
O43524:600_646	O43524_1	100.0	47.0	0	0	1	47	7	53	3.77e-28	99.9	47.0	80.0	O43524	O43524	1.0
P04198:8_23	P04198_1	100.0	16.0	0	0	1	16	8	23	2.29e-07	36.7	16.0	73.0	P04198	P04198	1.0
P04637:16_56	P04637_1	100.0	41.0	0	0	1	41	16	56	1.13e-23	87.2	41.0	83.0	P04637	P04637	1.0
P18848:83_99	P18848_1	100.0	17.0	0	0	1	17	83	99	4e-07	36.3	17.0	113.0	P18848	P18848	1.0
P18850:57_75	P18850_1	100.0	19.0	0	0	1	19	57	75	3.98e-09	42.2	19.0	150.0	P18850	P18850	1.0
P19532:48_64	P19532_1	100.0	17.0	0	0	1	17	48	64	7.93e-08	38.4	17.0	127.0	P19532	P19532	1.0
P19532:512_529	P19532_2	100.0	18.0	0	0	1	18	41	58	3.46e-08	39.7	18.0	104.0	P19532	P19532	1.0
P35716:353_367	P35716_1	100.0	15.0	0	0	1	15	36	50	2.75e-05	30.8	15.0	124.0	P35716	P35716	1.0
P35716:423_437	P35716_1	100.0	15.0	0	0	1	15	106	120	7.56e-07	35.0	15.0	124.0	P35716	P35716	1.0
P41235:265_282	P41235_1	100.0	18.0	0	0	1	18	138	155	9.73e-08	38.4	18.0	242.0	P41235	P41235	1.0
P48436:267_286	P48436_1	100.0	20.0	0	0	1	20	44	63	3.95e-09	42.6	20.0	84.0	P48436	P48436	1.0
P98177:463_504	P98177_1	100.0	35.0	0	0	7	41	1	35	3.87e-18	68.5	42.0	35.0	P98177	P98177	1.0
Q01201:413_431	Q01201_2	100.0	18.0	0	0	2	19	1	18	4.33e-08	39.2	19.0	166.0	Q01201	Q01201	0.9473684210526315
Q03164:2839_2856	Q03164_1	100.0	18.0	0	0	1	18	11	28	1.24e-08	40.9	18.0	55.0	Q03164	Q03164	1.0
Q07869:360_378	Q07869_1	100.0	19.0	0	0	1	19	122	140	3.04e-08	39.7	19.0	230.0	Q07869	Q07869	1.0
Q08050:727_762	Q08050_1	100.0	36.0	0	0	1	36	17	52	4.49e-20	74.9	36.0	53.0	Q08050	Q08050	1.0
Q12778:597_631	Q12778_1	100.0	35.0	0	0	1	35	16	50	2.97e-19	73.6	35.0	74.0	Q12778	Q12778	1.0
Q13285:373_392	Q13285_1	100.0	20.0	0	0	1	20	241	260	2.5e-17	66.0	20.0	329.0	Q13285	Q13285	1.0
Q13887:201_217	Q13887_1	100.0	17.0	0	0	1	17	201	217	9.8e-08	38.0	17.0	238.0	Q13887	Q13887	1.0
Q14494:171_187	Q14494_1	100.0	15.0	0	0	3	17	1	15	5.88e-06	32.9	17.0	143.0	Q14494	Q14494	0.8823529411764706
Q15329:298_317	Q15329_1	100.0	20.0	0	0	1	20	77	96	1.61e-09	43.5	20.0	125.0	Q15329	Q15329	1.0
Q8IUM7:689_706	Q8IUM7_1	100.0	18.0	0	0	1	18	93	110	2.34e-09	42.6	18.0	206.0	Q8IUM7	Q8IUM7	1.0
Q8IUM7:743_758	Q8IUM7_1	100.0	16.0	0	0	1	16	147	162	1.01e-06	35.0	16.0	206.0	Q8IUM7	Q8IUM7	1.0
Q8IXF0:645_665	Q8IXF0_1	100.0	21.0	0	0	1	21	195	215	1.12e-19	72.7	21.0	483.0	Q8IXF0	Q8IXF0	1.0
Q99814:491_510	Q99814_1	100.0	20.0	0	0	1	20	11	30	2.01e-09	43.5	20.0	159.0	Q99814	Q99814	1.0
Q9Y2N7:475_490	Q9Y2N7_1	100.0	15.0	0	0	2	16	1	15	0.000128	29.1	16.0	35.0	Q9Y2N7	Q9Y2N7	0.9375
Q9Y4A8:383_401	Q9Y4A8_1	100.0	17.0	0	0	1	17	86	102	5.29e-07	36.3	19.0	102.0	Q9Y4A8	Q9Y4A8	0.8947368421052632
Q9Y6Q9:796_812	Q9Y6Q9_1	100.0	17.0	0	0	1	17	176	192	4.46e-14	55.8	17.0	804.0	Q9Y6Q9	Q9Y6Q9	1.0
