qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot	short_cov
O00716_1	O00716_1	100.0	61.0	0	0	15	75	1	61	4.71e-36	122.0	75.0	61.0	O00716	O00716	1.0
O14948_1	O14948_1	100.0	56.0	0	0	30	85	1	56	3.19e-33	117.0	119.0	56.0	O14948	O14948	1.0
O43889_1	O43889_1	100.0	60.0	0	0	1	60	1	60	4.83e-33	115.0	92.0	60.0	O43889	O43889	1.0
O75030_1	O75030_1	100.0	40.0	0	0	1	40	1	40	8.12e-22	81.2	72.0	40.0	O75030	O75030	1.0
O95644_2	O95644_1	100.0	38.0	0	0	193	230	1	38	4.41e-21	81.7	241.0	38.0	O95644	O95644	1.0
O95718_1	O95718_1	100.0	40.0	0	0	146	185	1	40	1.3400000000000002e-21	83.3	231.0	40.0	O95718	O95718	1.0
P01106_1	P01106_1	100.0	49.0	0	0	87	135	1	49	1.57e-29	106.0	144.0	49.0	P01106	P01106	1.0
P04637_1	P04637_1	100.0	42.0	0	0	20	61	1	42	2.0299999999999998e-23	85.9	61.0	51.0	P04637	P04637	0.8235294117647058
P11473_1	P11473_1	100.0	44.0	0	0	1	44	9	52	1.66e-23	84.2	44.0	53.0	P11473	P11473	1.0
P15172_1	P15172_1	100.0	63.0	0	0	1	63	2	64	1.73e-37	128.0	97.0	64.0	P15172	P15172	0.984375
P17947_1	P17947_1	100.0	48.0	0	0	21	68	1	48	9.79e-28	98.6	78.0	48.0	P17947	P17947	1.0
P18850_1	P18850_1	100.0	87.0	0	0	6	92	1	87	9.44e-57	187.0	150.0	87.0	P18850	P18850	1.0
P19532_1	P19532_1	100.0	41.0	0	0	47	87	1	41	3.5299999999999995e-23	87.2	122.0	41.0	P19532	P19532	1.0
P35716_1	P35716_3	100.0	33.0	0	0	1	33	20	52	9.32e-20	72.7	33.0	52.0	P35716	P35716	1.0
P36956_1	P36956_1	100.0	59.0	0	0	2	60	1	59	6.270000000000001e-35	117.0	60.0	59.0	P36956	P36956	1.0
P41161_1	P41161_1	100.0	31.0	0	0	1	31	10	40	4.88e-15	60.0	31.0	58.0	P41161	P41161	1.0
P42229_1	P42229_1	100.0	44.0	0	0	17	60	1	44	1.35e-25	92.3	73.0	44.0	P42229	P42229	1.0
P43268_1	P43268_1	100.0	42.0	0	0	1	42	7	48	1.1e-23	85.0	42.0	57.0	P43268	P43268	1.0
P50549_1	P50549_1	100.0	32.0	0	0	1	32	5	36	3.67e-16	63.0	32.0	53.0	P50549	P50549	1.0
P57073_1	P57073_1	100.0	45.0	0	0	31	75	1	45	1.8100000000000002e-27	97.3	75.0	46.0	P57073	P57073	0.9782608695652174
P78545_1	P78545_1	100.0	31.0	0	0	1	31	2	32	7.06e-17	64.7	31.0	52.0	P78545	P78545	1.0
Q00613_1	Q00613_1	100.0	51.0	0	0	101	151	1	51	5.94e-28	102.0	159.0	51.0	Q00613	Q00613	1.0
Q01094_1	Q01094_1	100.0	68.0	0	0	3	70	1	68	2.9199999999999997e-40	133.0	70.0	68.0	Q01094	Q01094	1.0
Q03933_1	Q03933_2	100.0	51.0	0	0	1	51	1	51	2.18e-28	99.5	65.0	51.0	Q03933	Q03933	1.0
Q04206_2	Q04206_1	100.0	48.0	0	0	15	62	1	48	1.4600000000000002e-26	94.8	62.0	56.0	Q04206	Q04206	0.8571428571428571
Q07869_1	Q07869_1	100.0	30.0	0	0	1	30	14	43	7.73e-15	59.2	30.0	57.0	Q07869	Q07869	1.0
Q12772_1	Q12772_1	100.0	49.0	0	0	2	50	1	49	5.31e-27	94.8	50.0	58.0	Q12772	Q12772	0.98
Q13469_1	Q13469_1	100.0	39.0	0	0	28	66	1	39	3.0000000000000003e-21	80.8	96.0	39.0	Q13469	Q13469	1.0
Q14209_1	Q14209_1	100.0	51.0	0	0	29	79	1	51	8.120000000000001e-29	102.0	79.0	51.0	Q14209	Q14209	1.0
Q15329_1	Q15329_1	100.0	48.0	0	0	10	57	1	48	1.1e-28	99.5	60.0	48.0	Q15329	Q15329	1.0
Q15596_1	Q15596_2	100.0	72.0	0	0	48	119	1	72	4.210000000000001e-43	146.0	122.0	72.0	Q15596	Q15596	1.0
Q16254_1	Q16254_1	100.0	68.0	0	0	5	72	1	68	5.1799999999999996e-42	138.0	77.0	68.0	Q16254	Q16254	1.0
Q16621_1	Q16621_1	100.0	47.0	0	0	119	165	1	47	7.639999999999999e-24	90.6	206.0	47.0	Q16621	Q16621	1.0
Q16665_1	Q16665_3	100.0	45.0	0	0	1	45	24	68	3.35e-26	94.0	45.0	87.0	Q16665	Q16665	1.0
Q8WYP5_1	Q8WYP5_2	100.0	147.0	0	0	33	179	1	147	1.26e-93	303.0	253.0	147.0	Q8WYP5	Q8WYP5	1.0
Q96BA8_1	Q96BA8_1	100.0	50.0	0	0	11	60	1	50	1.44e-26	97.3	60.0	87.0	Q96BA8	Q96BA8	0.8333333333333334
