qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot	short_cov
O15353_1	O15353_1	100.0	46.0	0	0	1	46	7	52	6.57e-26	91.8	46.0	54.0	O15353	O15353	1.0
O43524_1	O43524_1	100.0	43.0	0	0	1	43	13	55	1.7699999999999998e-24	89.3	43.0	80.0	O43524	O43524	1.0
O43889_1	O43889_1	100.0	54.0	0	0	1	54	2	55	3.6000000000000003e-29	104.0	54.0	107.0	O43889	O43889	1.0
P01100_1	P01100_2	100.0	37.0	0	0	2	38	1	37	8.21e-19	73.2	38.0	99.0	P01100	P01100	0.9736842105263158
P01106_1	P01106_1	100.0	39.0	0	0	1	39	12	50	6.5e-22	82.5	39.0	143.0	P01106	P01106	1.0
P04198_1	P04198_1	100.0	40.0	0	0	1	40	17	56	7.469999999999999e-23	84.2	40.0	73.0	P04198	P04198	1.0
P15172_1	P15172_1	100.0	48.0	0	0	1	48	3	50	1.54e-26	95.2	48.0	75.0	P15172	P15172	1.0
P17947_1	P17947_1	100.0	38.0	0	0	1	38	29	66	4.09e-21	80.0	38.0	111.0	P17947	P17947	1.0
P18848_1	P18848_1	100.0	113.0	0	0	1	113	1	113	5.1300000000000006e-70	225.0	134.0	113.0	P18848	P18848	1.0
P18850_1	P18850_1	100.0	74.0	0	0	1	74	10	83	8.1e-47	158.0	74.0	150.0	P18850	P18850	1.0
P19532_1	P19532_2	100.0	51.0	0	0	1	51	20	70	3.11e-28	102.0	51.0	104.0	P19532	P19532	1.0
P35716_1	P35716_1	100.0	45.0	0	0	1	45	77	121	6.1800000000000006e-27	97.8	45.0	124.0	P35716	P35716	1.0
P36956_1	P36956_1	100.0	51.0	0	0	1	51	3	53	2.66e-29	104.0	51.0	92.0	P36956	P36956	1.0
P41161_2	P41161_3	100.0	39.0	0	0	1	39	20	58	4.66e-22	80.8	39.0	60.0	P41161	P41161	1.0
P43268_1	P43268_1	100.0	32.0	0	0	10	41	1	32	2.09e-16	64.7	51.0	32.0	P43268	P43268	1.0
P50549_1	P50549_1	100.0	47.0	0	0	1	47	37	83	1.9100000000000003e-27	99.9	47.0	182.0	P50549	P50549	1.0
P52630_1	P52630_1	100.0	69.0	0	0	2	70	1	69	1.76e-35	126.0	70.0	152.0	P52630	P52630	0.9857142857142858
P78545_1	P78545_1	100.0	26.0	0	0	1	26	6	31	1.41e-13	55.8	40.0	31.0	P78545	P78545	0.8387096774193549
P98177_1	P98177_1	100.0	35.0	0	0	8	42	1	35	3.32e-18	68.9	44.0	35.0	P98177	P98177	1.0
Q00613_1	Q00613_2	100.0	41.0	0	0	1	41	34	74	3.04e-22	83.3	41.0	91.0	Q00613	Q00613	1.0
Q01094_1	Q01094_1	100.0	58.0	0	0	1	58	2	59	5.93e-34	114.0	58.0	59.0	Q01094	Q01094	1.0
Q12772_1	Q12772_1	100.0	55.0	0	0	1	55	2	56	6.56e-32	112.0	55.0	94.0	Q12772	Q12772	1.0
Q14209_1	Q14209_1	100.0	42.0	0	0	1	42	16	57	4.89e-23	83.8	42.0	57.0	Q14209	Q14209	1.0
Q15329_1	Q15329_1	100.0	41.0	0	0	1	41	81	121	6.37e-24	88.4	41.0	125.0	Q15329	Q15329	1.0
Q15596_2	Q15596_1	100.0	39.0	0	0	1	39	50	88	2.9100000000000002e-21	80.8	39.0	122.0	Q15596	Q15596	1.0
Q16254_1	Q16254_1	100.0	41.0	0	0	1	41	8	48	1.88e-23	84.6	41.0	54.0	Q16254	Q16254	1.0
Q16665_1	Q16665_1	100.0	39.0	0	0	1	39	4	42	8.68e-22	79.1	39.0	45.0	Q16665	Q16665	1.0
Q6ZRS2_1	Q6ZRS2_1	62.5	72.0	5	2	3	52	219	290	3.6300000000000004e-35	124.0	58.0	1248.0	Q6ZRS2	Q6ZRS2	1.2413793103448276
Q6ZRS2_1	Q6ZRS2_1	100.0	58.0	0	0	1	58	217	274	3.2200000000000004e-32	115.0	58.0	1248.0	Q6ZRS2	Q6ZRS2	1.0
Q7RTS3_1	Q7RTS3_1	100.0	42.0	0	0	1	42	2	43	7.25e-22	82.5	74.0	43.0	Q7RTS3	Q7RTS3	0.9767441860465116
Q8IUM7_1	Q8IUM7_1	100.0	105.0	0	0	1	105	87	191	8.24e-66	218.0	105.0	206.0	Q8IUM7	Q8IUM7	1.0
Q96BA8_1	Q96BA8_1	100.0	49.0	0	0	1	49	12	60	1.15e-25	94.8	75.0	60.0	Q96BA8	Q96BA8	0.8166666666666667
Q99607_1	Q99607_1	100.0	40.0	0	0	1	40	19	58	2.2700000000000003e-22	83.3	40.0	86.0	Q99607	Q99607	1.0
Q9NS37_1	Q9NS37_1	100.0	30.0	0	0	9	38	1	30	6.52e-14	58.3	58.0	30.0	Q9NS37	Q9NS37	1.0
Q9P0U4_1	Q9P0U4_1	100.0	52.0	0	0	1	52	14	65	8.139999999999999e-30	104.0	53.0	65.0	Q9P0U4	Q9P0U4	0.9811320754716981
Q9UBX2_1	Q9UBX2_1	100.0	58.0	0	0	1	58	42	99	8.5e-29	104.0	58.0	99.0	Q9UBX2	Q9UBX2	1.0
Q9Y2N7_1	Q9Y2N7_1	100.0	34.0	0	0	14	47	1	34	9.96e-18	68.1	47.0	35.0	Q9Y2N7	Q9Y2N7	0.9714285714285714
