qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot	short_cov
O00470_1	O00470_1	100.0	56.0	0	0	1	56	1	56	4.059999999999999e-34	114.0	56.0	56.0	O00470	O00470	1.0
O14770_1	O14770-4_1	94.928	138.0	0	1	1	138	1	131	2.49e-80	255.0	138.0	131.0	O14770	O14770	1.0534351145038168
O14948_1	O14948_2	100.0	29.0	0	0	61	89	1	29	4.12e-15	63.0	119.0	29.0	O14948	O14948	1.0
O14948_2	O14948_1	100.0	44.0	0	0	1	44	1	44	7.27e-25	91.0	77.0	44.0	O14948	O14948	1.0
O15350_1	O15350_1	100.0	46.0	0	0	1	46	1	46	3.47e-27	98.6	46.0	116.0	O15350	O15350	1.0
O15370_1	O15370_1	100.0	33.0	0	0	1	33	2	34	1.95e-20	73.2	33.0	34.0	O15370	O15370	1.0
O15391_1	O15391_1	100.0	71.0	0	0	1	71	1	71	5.7199999999999996e-46	149.0	71.0	71.0	O15391	O15391	1.0
O43889_1	O43889_1	100.0	92.0	0	0	1	92	1	92	2.4e-56	183.0	92.0	107.0	O43889	O43889	1.0
O75030_1	O75030_1	100.0	68.0	0	0	1	68	1	68	3.68e-42	139.0	72.0	68.0	O75030	O75030	1.0
P01106_1	P01106_1	100.0	143.0	0	0	1	143	1	143	2.45e-98	305.0	144.0	143.0	P01106	P01106	1.0
P03372_1	P03372_1	100.0	182.0	0	0	1	182	1	182	1e-121	376.0	184.0	182.0	P03372	P03372	1.0
P03372_2	P03372_2	100.0	285.0	0	0	1	285	30	314	0.0	611.0	285.0	314.0	P03372	P03372	1.0
P04637_1	P04637_1	100.0	61.0	0	0	1	61	1	61	5.9300000000000004e-36	123.0	61.0	83.0	P04637	P04637	1.0
P06401_1	P06401_1	100.0	164.0	0	0	1	164	1	164	2.86e-105	328.0	164.0	165.0	P06401	P06401	1.0
P06401_2	P06401_2	100.0	91.0	0	0	1	91	1	91	2.6299999999999996e-54	176.0	91.0	91.0	P06401	P06401	1.0
P06401_3	P06401_3	100.0	246.0	0	0	2	247	1	246	2.62e-171	523.0	247.0	246.0	P06401	P06401	1.0
P08047_1	P08047_2	100.0	106.0	0	0	1	106	57	162	3.2e-63	210.0	106.0	180.0	P08047	P08047	1.0
P09086_1	P09086_2	100.0	38.0	0	0	5	42	1	38	2.72e-09	46.0	42.0	108.0	P09086	P09086	0.9047619047619048
P11831_1	P11831_1	100.0	63.0	0	0	1	63	9	71	9.09e-37	127.0	95.0	71.0	P11831	P11831	0.8873239436619719
P14921_1	P14921_1	100.0	114.0	0	0	1	114	1	114	6.87e-76	244.0	157.0	114.0	P14921	P14921	1.0
P15172_1	P15172_1	100.0	73.0	0	0	1	73	3	75	6.18e-44	147.0	97.0	75.0	P15172	P15172	0.9733333333333334
P15336_1	P15336_1	100.0	78.0	0	0	19	96	1	78	4.46e-51	168.0	112.0	78.0	P15336	P15336	1.0
P16220_1	P16220_1	100.0	88.0	0	0	1	88	165	252	1.62e-51	176.0	88.0	253.0	P16220	P16220	1.0
P17020_1	P17020_1	100.0	149.0	0	0	1	149	1	149	1.95e-101	314.0	149.0	149.0	P17020	P17020	1.0
P17544_1	P17544_1	100.0	81.0	0	0	2	82	1	81	4.92e-82	264.0	296.0	81.0	P17544	P17544	1.0
P17947_1	P17947_1	100.0	78.0	0	0	1	78	7	84	1.91e-48	161.0	78.0	111.0	P17947	P17947	1.0
P18850_1	P18850_1	100.0	150.0	0	0	1	150	1	150	1.91e-99	309.0	150.0	150.0	P18850	P18850	1.0
P20393_1	P20393_1	100.0	82.0	0	0	155	236	1	82	1.01e-48	168.0	236.0	83.0	P20393	P20393	0.9879518072289156
P20823_1	P20823_1	100.0	38.0	0	0	1	38	1	38	5.79e-19	74.0	38.0	351.0	P20823	P20823	1.0
P20823_2	P20823_1	100.0	67.0	0	0	1	67	160	226	3.23e-39	137.0	67.0	351.0	P20823	P20823	1.0
P20823_3	P20823_1	100.0	83.0	0	0	1	83	266	348	3.4299999999999996e-48	165.0	83.0	351.0	P20823	P20823	1.0
P28069_1	P28069_1	100.0	30.0	0	0	8	37	1	30	1.69e-15	63.4	37.0	73.0	P28069	P28069	0.8108108108108109
P28324_1	P28324_1	100.0	51.0	0	0	1	51	3	53	1.21e-28	99.5	51.0	53.0	P28324	P28324	1.0
P32243_1	P32243_1	100.0	48.0	0	0	12	59	1	48	1.01e-28	99.9	59.0	48.0	P32243	P32243	1.0
P32519_1	P32519_1	100.0	86.0	0	0	1	86	1	86	3.1699999999999995e-54	174.0	87.0	86.0	P32519	P32519	1.0
P35713_1	P35713_1	100.0	66.0	0	0	1	66	1	66	4.49e-34	119.0	66.0	96.0	P35713	P35713	1.0
P35716_1	P35716_1	100.0	33.0	0	0	1	33	92	124	3.39e-20	76.6	33.0	124.0	P35716	P35716	1.0
P36956_1	P36956_1	100.0	60.0	0	0	1	60	1	60	2.74e-35	121.0	60.0	92.0	P36956	P36956	1.0
P40763_1	P40763_1	100.0	46.0	0	0	1	46	11	56	6.03e-27	95.2	46.0	62.0	P40763	P40763	1.0
P41161_1	P41161_1	100.0	31.0	0	0	1	31	38	68	5.83e-15	60.9	31.0	72.0	P41161	P41161	1.0
P42224_1	P42224_1	100.0	40.0	0	0	2	41	1	40	5.22e-24	84.6	41.0	40.0	P42224	P42224	1.0
P42229_1	P42229_1	100.0	73.0	0	0	1	73	25	97	1.88e-46	153.0	73.0	97.0	P42229	P42229	1.0
