NAME	REP_Q2	REP_N2	REP_S2	REP_G2	REP_E2	REP_D2	REP_K2	REP_R2	REP_P2	REP_QN2	REP_RG2	REP_PR	REP_FG2	REP_SG2	REP_SR2	REP_KAP2	REP_PTS2	CLV_C14_Caspase3-7	DEG_APCC_KENBOX_2	DEG_Kelch_Keap1_1	DEG_SCF_TRCP1_1	DOC_ANK_TNKS_1	DOC_CYCLIN_RxL_1	DOC_MAPK_gen_1	DOC_MAPK_JIP1_4	DOC_MAPK_MEF2A_6	DOC_MAPK_NFAT4_5	DOC_PP1_RVXF_1	DOC_PP2A_B56_1	DOC_PP4_FxxP_1	DOC_WW_Pin1_4	LIG_14-3-3_CanoR_1	LIG_CaM_IQ_9	LIG_CtBP_PxDLS_1	LIG_EF_ALG2_ABM_1	LIG_EH_1	LIG_HCF-1_HBM_1	LIG_HOMEOBOX	LIG_KEPE_2	LIG_KLC1_WD_1	LIG_LIR_Gen_1	LIG_PAM2_1	LIG_PCNA_PIPBox_1	LIG_PDZ_Class_1	LIG_PDZ_Wminus1_1	LIG_PTAP_UEV_1	LIG_PTB_Apo_2	LIG_PTB_Phospho_1	LIG_Rb_LxCxE_1	LIG_SH2_CRK	LIG_SH2_GRB2like	LIG_SH2_NCK_1	LIG_SH2_SRC	LIG_SH2_STAP1	LIG_SH2_STAT5	LIG_SH3_2	LIG_SUMO_SIM_anti_2	LIG_SUMO_SIM_par_1	LIG_WRPW_1	MOD_CDK_SPK_2	MOD_CDK_SPxK_1	MOD_CDK_SPxxK_3	MOD_CK1_1	MOD_CK2_1	MOD_DYRK1A_RPxSP_1	MOD_GSK3_1	MOD_N-GLC_1	MOD_NMyristoyl	MOD_PIKK_1	MOD_PKA_1	MOD_PKA_2	MOD_PKB_1	MOD_Plk_1	MOD_ProDKin_1	MOD_SUMO_for_1	MOD_SUMO_rev_2	TRG_ER_diArg_1	TRG_ER_FFAT_1	TRG_LysEnd_APsAcLL_1	TRG_NES_CRM1_1	TRG_NLS_MonoExtN_4	A_homorep	C_homorep	D_homorep	E_homorep	G_homorep	H_homorep	I_homorep	K_homorep	L_homorep	M_homorep	N_homorep	P_homorep	Q_homorep	R_homorep	S_homorep	T_homorep	V_homorep	Y_homorep	FG_rich	PY	FRG	SGFYSG	PG_rich	ELASTIN_LIKE	FGxF	R_plus_Y	REP_RGG	AA_S	AA_P	AA_T	AA_A	AA_H	AA_Q	AA_N	AA_G	AA_R	AA_C	AA_D	AA_E	AA_F	AA_I	AA_K	AA_L	AA_M	AA_V	AA_W	AA_Y	acidic	basic	aliphatic	polar_fraction	chain_expanding	aromatic	disorder_promoting	net_charge	WF_complexity	KL_hydropathy	isoelectric_point	FCR	ED_ratio	RK_ratio	SCD	kappa*	omega*	aromatic_spacing*	omega_aromatic*	kappa*__missing	omega*__missing	aromatic_spacing*__missing	omega_aromatic*__missing
P35348_3:42	-0.19950186722152632	-0.12067769800636949	1.33343011650287	-0.25180366967664003	-0.2831302609521151	-0.20378478648480552	-0.2898704818803744	-0.2600157169805765	-0.3869825593259904	-0.2488784423586999	-0.44471440519383587	0.558643898195269	1.8565582432658265	0.32825043980315666	0.349856455138011	-0.653805123791771	-0.12348778483049348	-0.19950186722152638	-0.06933752452815364	0.0	0.0	-0.12067769800636949	-0.17192047651837597	-0.0982946374365983	0.0	-0.12067769800636949	-0.0982946374365983	-0.09829463743659823	-0.09829463743659853	-0.18615441264319987	-0.4103238589063133	-0.27806399916002456	0.0	-0.06933752452815366	0.0	0.0	0.0	0.0	0.0	0.0	-0.21213203435596448	0.0	0.0	-0.23570226039551523	0.0	-0.06933752452815369	-0.09829463743659854	0.0	-0.06933752452815382	-0.13968605915391555	0.0	-0.12067769800636947	-0.06933752452815369	-0.09829463743659818	-0.19950186722152635	-0.12067769800636947	0.0	-0.12067769800636949	0.0	-0.1861544126432	-0.09829463743659833	-0.06933752452815374	-0.43385466567514075	-0.3851644432598213	-0.06933752452815377	-0.4638062947716074	-0.2780639991600248	-0.12067769800636949	-0.3069867060579911	-0.15655607277128752	-0.2879263002994776	-0.09829463743659847	-0.23570226039551562	-0.394327434725852	-0.19110046267601377	5.371884479132341	-0.2600157169805765	0.0	-0.171920476518376	0.0	-0.12067769800636947	-0.06933752452815373	0.0	0.0	-0.06933752452815377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06933752452815375	0.0	-0.06933752452815374	-0.0693375245281538	0.0	0.0	0.0	-0.18615441264319985	-0.31781722333515167	-0.09829463743659815	-0.09829463743659837	0.0	0.0	-0.2355083297381272	-0.06933752452815369	0.11372616538120645	-0.269691529440238	0.1819474867746122	-0.8341985091217557	-0.5527026861533106	-0.6594221414855259	-0.6246950475544246	-0.08703882797784909	-0.00864675402334237	1.263130005191314	0.1711068361015515	-0.1553813305837734	2.9385837088662012	-0.5394840156006657	0.09208844738463168	-0.9789087551641215	1.203354816231247	0.44913423036574157	2.451675555872146	-0.5508065275366741	-0.023320758229716115	0.06155473424535397	-0.7496958362194791	-0.2539317718965046	-0.13988089486691554	2.8024696213939553	-1.2313557605513754	0.05523035835329085	1.4102672498142632	0.6107667404912068	-0.23340965648843437	0.02472214957557981	-0.2338845773440565	-0.10890800392761138	-0.5262576048514275	0.1772491428129424	-0.6341320296076516	1.0376839186773243	0.7189159144898454	0	0	0	0
Q5SXH7_2:69	-0.19950186722152632	-0.12067769800636949	-0.34540659644351446	-0.25180366967664003	1.9085076849364793	-0.20378478648480552	-0.2898704818803744	-0.2600157169805765	-0.3869825593259904	-0.2488784423586999	-0.44471440519383587	0.558643898195269	-0.2991121614150498	-0.5401589515748149	0.349856455138011	-0.653805123791771	-0.12348778483049348	-0.19950186722152638	-0.06933752452815364	0.0	0.0	-0.12067769800636949	-0.17192047651837597	-0.0982946374365983	0.0	-0.12067769800636949	-0.0982946374365983	-0.09829463743659823	-0.09829463743659853	-0.18615441264319987	2.2696038445755455	-0.27806399916002456	0.0	-0.06933752452815366	0.0	0.0	0.0	0.0	0.0	0.0	-0.21213203435596448	0.0	0.0	4.242640687119275	0.0	-0.06933752452815369	-0.09829463743659854	0.0	-0.06933752452815382	-0.13968605915391555	0.0	-0.12067769800636947	-0.06933752452815369	-0.09829463743659818	5.012484413940849	-0.12067769800636947	0.0	-0.12067769800636949	0.0	5.371884479132343	-0.09829463743659833	-0.06933752452815374	-0.43385466567514075	-0.3851644432598213	-0.06933752452815377	-0.4638062947716074	-0.2780639991600248	-0.12067769800636949	-0.3069867060579911	-0.15655607277128752	-0.2879263002994776	-0.09829463743659847	-0.23570226039551562	2.352820360530917	4.246676948355861	-0.18615441264319993	-0.2600157169805765	0.0	-0.171920476518376	0.0	-0.12067769800636947	-0.06933752452815373	0.0	0.0	-0.06933752452815377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06933752452815375	0.0	-0.06933752452815374	-0.0693375245281538	0.0	0.0	0.0	-0.18615441264319985	-0.31781722333515167	-0.09829463743659815	-0.09829463743659837	0.0	0.0	0.5583826527662048	-0.06933752452815369	-0.5286729850153383	-0.269691529440238	0.1819474867746122	-0.8341985091217557	1.051670388930605	-0.6594221414855259	0.8589556903873339	-0.9139076937674147	-0.00864675402334237	-0.44005819535697394	0.1711068361015515	0.566278627016419	-0.5709248348654333	-0.5394840156006657	0.09208844738463168	0.8396861766518908	-0.4733195610509571	1.6682128556441829	-0.3180552072482784	1.3678362100494077	0.5182390717714705	0.06155473424535397	0.3576287557937446	-0.6854093355255247	0.2838163084256262	0.33629635456727464	-1.2313557605513754	-0.32954113817463543	1.1739820442294686	-0.03226493618157947	-0.4618895117274649	0.45529958801693615	0.32965385039681566	-0.10890800392761138	-0.4102397330588456	-0.5837677049270799	-1.164068732346799	0.0	0.0	0	0	1	1
Q9BZA7_4:264	-0.19950186722152632	-0.12067769800636949	-0.34540659644351446	-0.25180366967664003	-0.2831302609521151	-0.20378478648480552	-0.2898704818803744	-0.2600157169805765	-0.3869825593259904	-0.2488784423586999	-0.44471440519383587	-0.5125173377938248	-0.2991121614150498	-0.5401589515748149	-0.510378828671922	-0.653805123791771	-0.12348778483049348	5.01248441394085	-0.06933752452815364	0.0	0.0	8.286535263104039	-0.17192047651837597	-0.0982946374365983	0.0	-0.12067769800636949	-0.0982946374365983	-0.09829463743659823	-0.09829463743659853	-0.18615441264319987	-0.4103238589063133	-0.27806399916002456	0.0	-0.06933752452815366	0.0	0.0	0.0	0.0	0.0	0.0	-0.21213203435596448	0.0	0.0	-0.23570226039551523	0.0	-0.06933752452815369	-0.09829463743659854	0.0	-0.06933752452815382	-0.13968605915391555	0.0	-0.12067769800636947	-0.06933752452815369	-0.09829463743659818	-0.19950186722152635	-0.12067769800636947	0.0	-0.12067769800636949	0.0	-0.1861544126432	-0.09829463743659833	-0.06933752452815374	2.1568774807849853	2.5962936545662028	-0.06933752452815377	2.156072505424769	3.59629438913632	-0.12067769800636949	-0.3069867060579911	-0.15655607277128752	-0.2879263002994776	-0.09829463743659847	-0.23570226039551562	-0.394327434725852	-0.19110046267601377	-0.18615441264319993	-0.2600157169805765	0.0	-0.171920476518376	0.0	-0.12067769800636947	-0.06933752452815373	0.0	0.0	-0.06933752452815377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06933752452815375	0.0	-0.06933752452815374	-0.0693375245281538	0.0	0.0	0.0	-0.18615441264319985	-0.31781722333515167	-0.09829463743659815	-0.09829463743659837	0.0	0.0	-0.2355083297381272	-0.06933752452815369	0.7561253157777513	0.42617920701667256	0.1819474867746122	-0.8341985091217557	-0.5527026861533106	-0.6594221414855259	2.342606428329092	0.7398300378117164	-0.00864675402334237	-0.44005819535697394	1.1644770790244476	0.566278627016419	-0.5709248348654333	-0.5394840156006657	-0.7447152701539778	-0.9789087551641215	-0.4733195610509571	-0.7699443949126997	-0.3180552072482784	-0.5508065275366741	1.0597989017726572	-0.5510614303869786	-1.8570204282327027	1.0405009189905559	0.707513511718168	-0.8967902788460659	0.9404025006742567	-1.099084131230488	0.09062323714799374	-1.6060003554070827	-1.0280278872089867	0.45529958801693615	-0.2338845773440565	0.836221100672149	0.01179566815782419	1.067302781538147	0.8517362755448863	0.0	0.0	0	0	1	1
Q96T21_1:377	-0.19950186722152632	-0.12067769800636949	-0.34540659644351446	-0.25180366967664003	-0.2831302609521151	-0.20378478648480552	6.44156626400832	-0.2600157169805765	-0.3869825593259904	-0.2488784423586999	-0.44471440519383587	-0.5125173377938248	-0.2991121614150498	-0.5401589515748149	0.349856455138011	1.8306543466169587	0.47672028562469554	-0.19950186722152638	-0.06933752452815364	0.0	0.0	-0.12067769800636949	-0.17192047651837597	-0.0982946374365983	0.0	-0.12067769800636949	-0.0982946374365983	-0.09829463743659823	-0.09829463743659853	-0.18615441264319987	-0.4103238589063133	-0.27806399916002456	0.0	-0.06933752452815366	0.0	0.0	0.0	0.0	0.0	0.0	-0.21213203435596448	0.0	0.0	-0.23570226039551523	0.0	-0.06933752452815369	-0.09829463743659854	0.0	-0.06933752452815382	-0.13968605915391555	0.0	-0.12067769800636947	-0.06933752452815369	-0.09829463743659818	-0.19950186722152635	-0.12067769800636947	0.0	-0.12067769800636949	0.0	-0.1861544126432	-0.09829463743659833	-0.06933752452815374	-0.43385466567514075	-0.3851644432598213	-0.06933752452815377	-0.4638062947716074	-0.2780639991600248	-0.12067769800636949	-0.3069867060579911	-0.15655607277128752	-0.2879263002994776	-0.09829463743659847	-0.23570226039551562	-0.394327434725852	-0.19110046267601377	-0.18615441264319993	-0.2600157169805765	0.0	-0.171920476518376	0.0	-0.12067769800636947	-0.06933752452815373	0.0	0.0	-0.06933752452815377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06933752452815375	0.0	-0.06933752452815374	-0.0693375245281538	0.0	0.0	0.0	-0.18615441264319985	-0.31781722333515167	-0.09829463743659815	-0.09829463743659837	0.0	0.0	-0.2355083297381272	-0.06933752452815369	0.7561253157777513	-0.9655622658971486	0.1819474867746122	-0.023279958394095454	-0.5527026861533106	-0.6594221414855259	0.8589556903873339	-0.9139076937674147	-0.00864675402334237	-0.44005819535697394	-0.8222634068213446	-0.1553813305837734	-0.5709248348654333	-0.5394840156006657	5.112910752616288	-0.9789087551641215	-0.4733195610509571	-0.7699443949126997	-0.3180552072482784	-0.5508065275366741	-0.5648805882309028	3.7372517220393493	-1.303358132226091	-0.2539317718965046	1.5549079183032515	-0.8967902788460659	1.4833420659806646	2.7486308340487744	-1.6340716300828313	-2.2405710889657535	1.501880383301671	2.1776093417823605	0.72949072798941	-1.999166213127132	2.3675625977439028	-0.32584340903227343	0.47541069992058815	0.0	0.0	0	0	1	1
Q14952_1:17	-0.19950186722152632	-0.12067769800636949	-0.34540659644351446	-0.25180366967664003	-0.2831302609521151	-0.20378478648480552	-0.2898704818803744	-0.2600157169805765	-0.3869825593259904	-0.2488784423586999	-0.44471440519383587	0.558643898195269	-0.2991121614150498	-0.5401589515748149	-0.510378828671922	-0.653805123791771	-0.12348778483049348	-0.19950186722152638	-0.06933752452815364	0.0	0.0	-0.12067769800636949	-0.17192047651837597	-0.0982946374365983	0.0	-0.12067769800636949	-0.0982946374365983	-0.09829463743659823	-0.09829463743659853	-0.18615441264319987	-0.4103238589063133	-0.27806399916002456	0.0	-0.06933752452815366	0.0	0.0	0.0	0.0	0.0	0.0	-0.21213203435596448	0.0	0.0	-0.23570226039551523	0.0	-0.06933752452815369	-0.09829463743659854	0.0	-0.06933752452815382	-0.13968605915391555	0.0	-0.12067769800636947	-0.06933752452815369	-0.09829463743659818	-0.19950186722152635	-0.12067769800636947	0.0	-0.12067769800636949	0.0	-0.1861544126432	-0.09829463743659833	-0.06933752452815374	-0.43385466567514075	-0.3851644432598213	-0.06933752452815377	-0.4638062947716074	-0.2780639991600248	-0.12067769800636949	-0.3069867060579911	-0.15655607277128752	-0.2879263002994776	-0.09829463743659847	-0.23570226039551562	-0.394327434725852	-0.19110046267601377	-0.18615441264319993	-0.2600157169805765	0.0	-0.171920476518376	0.0	-0.12067769800636947	-0.06933752452815373	0.0	0.0	-0.06933752452815377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06933752452815375	0.0	-0.06933752452815374	-0.0693375245281538	0.0	0.0	0.0	-0.18615441264319985	-0.31781722333515167	-0.09829463743659815	-0.09829463743659837	0.0	0.0	-0.2355083297381272	-0.06933752452815369	-0.5286729850153383	-0.269691529440238	0.1819474867746122	-0.8341985091217557	2.6560434640145205	-0.6594221414855259	-0.6246950475544246	-0.08703882797784909	-0.00864675402334237	-0.44005819535697394	-0.8222634068213446	-0.8770412881839658	-0.5709248348654333	1.0712611166927504	0.09208844738463168	1.748983642559897	-0.4733195610509571	2.8872914809226238	-0.3180552072482784	-0.5508065275366741	-1.1064404182320895	0.06155473424535397	2.0186156438135803	-0.2539317718965046	-0.987275301451999	-0.8967902788460659	-1.7742953258577834	0.8247733514091434	0.4249756635752897	2.0152832974343977	1.59442918542381	-0.8364327273071321	-0.2338845773440565	-0.10890800392761138	0.030572469322375513	-1.0278671080147779	-0.002501154456316028	0.0	0.0	0	0	1	1
Q9BWV1_6:86	2.4064912733596615	-0.12067769800636949	1.33343011650287	-0.25180366967664003	-0.2831302609521151	-0.20378478648480552	-0.2898704818803744	-0.2600157169805765	-0.3869825593259904	1.376608884296559	-0.44471440519383587	-0.5125173377938248	-0.2991121614150498	0.32825043980315666	0.349856455138011	-0.653805123791771	0.47672028562469554	-0.19950186722152638	-0.06933752452815364	0.0	0.0	-0.12067769800636949	-0.17192047651837597	-0.0982946374365983	0.0	-0.12067769800636949	-0.0982946374365983	-0.09829463743659823	-0.09829463743659853	-0.18615441264319987	-0.4103238589063133	-0.27806399916002456	0.0	-0.06933752452815366	0.0	0.0	0.0	0.0	0.0	0.0	-0.21213203435596448	0.0	0.0	-0.23570226039551523	0.0	-0.06933752452815369	-0.09829463743659854	0.0	-0.06933752452815382	-0.13968605915391555	0.0	-0.12067769800636947	-0.06933752452815369	-0.09829463743659818	-0.19950186722152635	-0.12067769800636947	0.0	-0.12067769800636949	0.0	-0.1861544126432	-0.09829463743659833	-0.06933752452815374	2.1568774807849853	-0.3851644432598213	-0.06933752452815377	-0.4638062947716074	-0.2780639991600248	-0.12067769800636949	-0.3069867060579911	-0.15655607277128752	3.4731109973624488	-0.09829463743659847	4.242640687119282	-0.394327434725852	-0.19110046267601377	-0.18615441264319993	-0.2600157169805765	0.0	5.816642788871721	0.0	-0.12067769800636947	-0.06933752452815373	0.0	0.0	-0.06933752452815377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06933752452815375	0.0	-0.06933752452815374	-0.0693375245281538	0.0	0.0	0.0	-0.18615441264319985	-0.31781722333515167	-0.09829463743659815	-0.09829463743659837	0.0	0.0	-0.2355083297381272	-0.06933752452815369	0.7561253157777513	-0.9655622658971486	1.1094358949671475	-0.8341985091217557	1.051670388930605	1.7167714373157656	-0.6246950475544246	-0.08703882797784909	-0.00864675402334237	-0.44005819535697394	0.1711068361015515	-0.8770412881839658	-0.5709248348654333	-0.5394840156006657	-0.7447152701539778	1.748983642559897	-0.4733195610509571	-0.7699443949126997	-0.3180552072482784	-0.5508065275366741	-0.5648805882309028	-0.5510614303869786	-0.19603354021286726	1.903456046248596	-1.4109725047445407	-0.8967902788460659	0.39746293536784866	0.05523035835329085	-0.1858127323365951	-0.07456965175215778	0.018930436797710122	-0.8364327273071321	-1.197259882677523	0.836221100672149	-0.32397163062006806	-0.15940643764625903	-2.0914480918662006	0.0	0.0	0	0	1	1
Q8NBI3_1:67	-0.19950186722152632	-0.12067769800636949	-0.34540659644351446	-0.25180366967664003	-0.2831302609521151	-0.20378478648480552	-0.2898704818803744	-0.2600157169805765	-0.3869825593259904	-0.2488784423586999	-0.44471440519383587	-0.5125173377938248	-0.2991121614150498	-0.5401589515748149	-0.510378828671922	-0.653805123791771	-0.12348778483049348	-0.19950186722152638	-0.06933752452815364	0.0	0.0	-0.12067769800636949	-0.17192047651837597	-0.0982946374365983	0.0	-0.12067769800636949	-0.0982946374365983	-0.09829463743659823	-0.09829463743659853	-0.18615441264319987	-0.4103238589063133	-0.27806399916002456	0.0	-0.06933752452815366	0.0	0.0	0.0	0.0	0.0	0.0	-0.21213203435596448	0.0	0.0	-0.23570226039551523	0.0	-0.06933752452815369	-0.09829463743659854	0.0	-0.06933752452815382	-0.13968605915391555	0.0	-0.12067769800636947	-0.06933752452815369	-0.09829463743659818	-0.19950186722152635	-0.12067769800636947	0.0	-0.12067769800636949	0.0	-0.1861544126432	-0.09829463743659833	-0.06933752452815374	-0.43385466567514075	-0.3851644432598213	-0.06933752452815377	-0.4638062947716074	-0.2780639991600248	-0.12067769800636949	3.25747004761535	-0.15655607277128752	-0.2879263002994776	-0.09829463743659847	-0.23570226039551562	-0.394327434725852	-0.19110046267601377	-0.18615441264319993	-0.2600157169805765	0.0	-0.171920476518376	0.0	-0.12067769800636947	-0.06933752452815373	0.0	0.0	-0.06933752452815377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06933752452815375	0.0	-0.06933752452815374	-0.0693375245281538	0.0	0.0	0.0	-0.18615441264319985	-0.31781722333515167	-0.09829463743659815	-0.09829463743659837	0.0	0.0	-1.0293993122424592	-0.06933752452815369	-0.5286729850153383	0.42617920701667256	-0.745540921417923	0.7876385923335648	-0.5527026861533106	0.9247069110486684	-0.6246950475544246	1.566698903601282	-0.9122325494626153	-0.44005819535697394	0.1711068361015515	-0.8770412881839658	-0.5709248348654333	-0.5394840156006657	-0.7447152701539778	-0.06961128925611526	-0.4733195610509571	1.6682128556441829	2.451675555872146	-0.5508065275366741	-0.5648805882309028	-1.1636775950193112	0.9112910518003564	0.17754579173251553	-0.987275301451999	0.33629635456727464	-0.14547662993855937	-0.32954113817463543	0.3269084427327883	1.0845795548816808	-1.0714101382037393	-1.2670101657484885	-1.197259882677523	-0.10890800392761138	-0.17711465596454587	0.0	-0.002501154456316028	0.0	0.0	1	0	1	1
Q9Y5G1_3:6	-0.19950186722152632	-0.12067769800636949	-0.34540659644351446	-0.25180366967664003	-0.2831302609521151	-0.20378478648480552	-0.2898704818803744	-0.2600157169805765	-0.3869825593259904	-0.2488784423586999	-0.44471440519383587	-0.5125173377938248	-0.2991121614150498	-0.5401589515748149	-0.510378828671922	-0.653805123791771	-0.7236958552856826	-0.19950186722152638	-0.06933752452815364	0.0	0.0	-0.12067769800636949	-0.17192047651837597	-0.0982946374365983	0.0	-0.12067769800636949	-0.0982946374365983	-0.09829463743659823	-0.09829463743659853	-0.18615441264319987	-0.4103238589063133	-0.27806399916002456	0.0	-0.06933752452815366	0.0	0.0	0.0	0.0	0.0	0.0	-0.21213203435596448	0.0	0.0	-0.23570226039551523	0.0	-0.06933752452815369	-0.09829463743659854	0.0	14.422205101855996	-0.13968605915391555	0.0	-0.12067769800636947	-0.06933752452815369	-0.09829463743659818	-0.19950186722152635	-0.12067769800636947	0.0	-0.12067769800636949	0.0	-0.1861544126432	-0.09829463743659833	-0.06933752452815374	-0.43385466567514075	2.5962936545662028	-0.06933752452815377	2.156072505424769	-0.2780639991600248	-0.12067769800636949	-0.3069867060579911	-0.15655607277128752	-0.2879263002994776	-0.09829463743659847	4.242640687119282	-0.394327434725852	-0.19110046267601377	-0.18615441264319993	-0.2600157169805765	0.0	-0.171920476518376	0.0	-0.12067769800636947	-0.06933752452815373	0.0	0.0	-0.06933752452815377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06933752452815375	0.0	-0.06933752452815374	-0.0693375245281538	0.0	0.0	0.0	-0.18615441264319985	-0.31781722333515167	-0.09829463743659815	-0.09829463743659837	0.0	0.0	-1.0293993122424592	-0.06933752452815369	0.11372616538120645	-0.9655622658971486	-0.745540921417923	-0.023279958394095454	-0.5527026861533106	0.13264238478157128	0.8589556903873339	-0.9139076937674147	-0.9122325494626153	1.263130005191314	2.1578473219473437	0.566278627016419	1.183829437000384	-0.5394840156006657	-0.7447152701539778	0.8396861766518908	-0.4733195610509571	-0.7699443949126997	2.451675555872146	-0.5508065275366741	1.6013587317738438	-1.1636775950193112	-0.19603354021286726	-0.2539317718965046	-0.13988089486691554	1.5693829879806152	-1.2313557605513754	-1.8686271242863406	0.5631936483175829	0.11157109675838582	-1.24493914218275	0.45529958801693615	-0.6337214549366509	-0.10890800392761138	1.2767684405848383	0.37070598241861913	1.3046373203775072	1.0236316928714568	0.7029868743504877	0	0	0	0
Q96EV2_1:1069	-0.19950186722152632	-0.12067769800636949	-0.34540659644351446	-0.25180366967664003	-0.2831302609521151	-0.20378478648480552	-0.2898704818803744	-0.2600157169805765	-0.3869825593259904	-0.2488784423586999	5.751639640506945	-0.5125173377938248	-0.2991121614150498	-0.5401589515748149	-0.510378828671922	-0.653805123791771	-0.7236958552856826	-0.19950186722152638	-0.06933752452815364	0.0	0.0	-0.12067769800636949	-0.17192047651837597	-0.0982946374365983	0.0	-0.12067769800636949	-0.0982946374365983	-0.09829463743659823	-0.09829463743659853	-0.18615441264319987	-0.4103238589063133	-0.27806399916002456	0.0	-0.06933752452815366	0.0	0.0	0.0	0.0	0.0	0.0	-0.21213203435596448	0.0	0.0	-0.23570226039551523	0.0	-0.06933752452815369	-0.09829463743659854	0.0	-0.06933752452815382	-0.13968605915391555	0.0	-0.12067769800636947	-0.06933752452815369	-0.09829463743659818	-0.19950186722152635	-0.12067769800636947	0.0	-0.12067769800636949	0.0	-0.1861544126432	-0.09829463743659833	-0.06933752452815374	-0.43385466567514075	-0.3851644432598213	-0.06933752452815377	-0.4638062947716074	-0.2780639991600248	-0.12067769800636949	-0.3069867060579911	-0.15655607277128752	-0.2879263002994776	-0.09829463743659847	-0.23570226039551562	-0.394327434725852	-0.19110046267601377	-0.18615441264319993	3.362869939615456	0.0	-0.171920476518376	0.0	-0.12067769800636947	-0.06933752452815373	0.0	0.0	-0.06933752452815377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06933752452815375	0.0	-0.06933752452815374	-0.0693375245281538	0.0	0.0	0.0	-0.18615441264319985	6.008258936383582	-0.09829463743659815	10.173494974687932	0.0	0.0	1.3522736352705367	-0.06933752452815369	-1.1710721354118832	0.42617920701667256	-0.745540921417923	-0.023279958394095454	-0.5527026861533106	-0.6594221414855259	-0.6246950475544246	3.220436635180413	1.7985248368552036	-0.44005819535697394	-0.8222634068213446	-0.8770412881839658	-0.5709248348654333	-0.5394840156006657	-0.7447152701539778	-0.06961128925611526	2.880029193513451	0.44913423036574157	-0.3180552072482784	-0.5508065275366741	-1.1064404182320895	0.6741708988776866	0.9112910518003564	-0.2539317718965046	-0.13988089486691554	-0.8967902788460659	-0.14547662993855937	1.2095448479370696	-0.8325172104326688	0.7207590009747095	2.075972171465564	-0.4058552888657758	-0.2338845773440565	1.7813502052719097	0.2668406246230876	-0.7536526199314402	1.3046373203775072	0.0	0.0	0	0	1	1
Q2T9L4_4:107	-0.19950186722152632	-0.12067769800636949	-0.34540659644351446	-0.25180366967664003	-0.2831302609521151	-0.20378478648480552	-0.2898704818803744	-0.2600157169805765	-0.3869825593259904	-0.2488784423586999	-0.44471440519383587	-0.5125173377938248	1.8565582432658265	-0.5401589515748149	-0.510378828671922	-0.653805123791771	-0.12348778483049348	-0.19950186722152638	-0.06933752452815364	0.0	0.0	-0.12067769800636949	-0.17192047651837597	-0.0982946374365983	0.0	-0.12067769800636949	-0.0982946374365983	-0.09829463743659823	-0.09829463743659853	-0.18615441264319987	-0.4103238589063133	-0.27806399916002456	0.0	-0.06933752452815366	0.0	0.0	0.0	0.0	0.0	0.0	-0.21213203435596448	0.0	0.0	-0.23570226039551523	0.0	-0.06933752452815369	-0.09829463743659854	0.0	-0.06933752452815382	-0.13968605915391555	0.0	-0.12067769800636947	-0.06933752452815369	-0.09829463743659818	-0.19950186722152635	-0.12067769800636947	0.0	-0.12067769800636949	0.0	-0.1861544126432	-0.09829463743659833	-0.06933752452815374	-0.43385466567514075	-0.3851644432598213	-0.06933752452815377	-0.4638062947716074	-0.2780639991600248	-0.12067769800636949	3.25747004761535	-0.15655607277128752	-0.2879263002994776	-0.09829463743659847	-0.23570226039551562	-0.394327434725852	-0.19110046267601377	-0.18615441264319993	-0.2600157169805765	0.0	-0.171920476518376	0.0	-0.12067769800636947	-0.06933752452815373	0.0	0.0	-0.06933752452815377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06933752452815375	0.0	-0.06933752452815374	-0.0693375245281538	0.0	0.0	0.0	-0.18615441264319985	2.845220856524215	-0.09829463743659815	-0.09829463743659837	0.0	0.0	-0.2355083297381272	-0.06933752452815369	-0.5286729850153383	0.42617920701667256	0.1819474867746122	0.7876385923335648	-0.5527026861533106	0.9247069110486684	-0.6246950475544246	0.7398300378117164	-0.00864675402334237	-0.44005819535697394	-0.8222634068213446	-0.8770412881839658	1.183829437000384	-0.5394840156006657	0.09208844738463168	-0.06961128925611526	-0.4733195610509571	0.44913423036574157	-0.3180552072482784	-0.5508065275366741	-1.1064404182320895	0.06155473424535397	0.3576287557937446	0.17754579173251553	-0.5635780981594573	0.33629635456727464	0.39746293536784866	0.8247733514091434	0.937696838644674	0.6023057973770911	1.59442918542381	-0.8364327273071321	-0.2338845773440565	-0.10890800392761138	-0.03025768130902368	-1.0278671080147779	-0.2438656526679242	0.0	0.0	0	0	1	1
